hs_code,hs_description,original_naics,matched_bea_naics,matched_bea_detail,match_level,has_wildcard,match_type
101210010,"Horses, Live, Purebred Breeding Male (no)",112920,1129,112A00,level_4,False,primary
101210020,"Horses, Live, Purebred Breeding Female (no)",112920,1129,112A00,level_4,False,primary
101290010,No description available,112920,1129,112A00,level_4,False,primary
101290090,"Horses, Live, Nesoi (no)",112920,1129,112A00,level_4,False,primary
101300000,"Asses, Live (no)",112920,1129,112A00,level_4,False,primary
101903000,No description available,112920,1129,112A00,level_4,False,primary
101904000,No description available,112920,1129,112A00,level_4,False,primary
102390010,"Bison, Live (no)",112990,1129,112A00,level_4,False,primary
103100000,"Swine, Purebred Breeding, Live (no)",112210,1122,112A00,level_4,False,primary
103910010,"Swine, Lt 7 Kg Each, Live, Exc Purebred Breeding (no)",112210,1122,112A00,level_4,False,primary
103910020,"Swine, 7 Kg To Lt 23 Kg Ea, Live, Nesoi (no)",112210,1122,112A00,level_4,False,primary
103910030,"Swine, 23 Kg To Lt 50 Kg Each, Live, Nesoi (no)",112210,1122,112A00,level_4,False,primary
103920010,"Swine, Live, Immediate Slaughter, Gt=50 Kg, Nesoi (no)",112210,1122,112A00,level_4,False,primary
103920020,"Swine, Gt=50 Kg Each, Live, Breeding, Nesoi (no)",112210,1122,112A00,level_4,False,primary
103920091,"Swine, Gt=50 Kg Each, Live, Nesoi (no)",112210,1122,112A00,level_4,False,primary
104100000,"Sheep, Live (no)",112410,1124,112A00,level_4,False,primary
104200000,No description available,112420,1124,112A00,level_4,False,primary
106110000,"Primates, Live (no)",112990,1129,112A00,level_4,False,primary
106120100,No description available,112990,1129,112A00,level_4,False,primary
106130000,"Camels And Other Camelids (camelidae), Live (no)",112990,1129,112A00,level_4,False,primary
106140000,"Rabbits And Hares, Live (no)",112930,1129,112A00,level_4,False,primary
106193000,"Foxes, Live (no)",112930,1129,112A00,level_4,False,primary
106199120,"Dogs, Live (no)",112990,1129,112A00,level_4,False,primary
106199195,"Mammals, Live, Nesoi (no)",112990,1129,112A00,level_4,False,primary
106200000,"Reptiles (including Snakes And Turtles), Live (no)",112990,1129,112A00,level_4,False,primary
106310000,"Birds Of Prey, Live (no)",112990,1129,112A00,level_4,False,primary
106320000,"Psittaciforme-parrot,parakeet,macaw,cockatoo, Live (no)",112990,1129,112A00,level_4,False,primary
106330000,"Ostriches; Emus (dromaius Novaehollandiae), Live (no)",112990,1129,112A00,level_4,False,primary
106390100,"Birds, Live, Nesoi (no)",112990,1129,112A00,level_4,False,primary
106410000,"Bees, Live (kg)",112910,1129,112A00,level_4,False,primary
106490010,"Larvae Of Leaf Cutter Bee, Live (kg)",112910,1129,112A00,level_4,False,primary
106490090,"Insects, Live, Nesoi (kg)",112990,1129,112A00,level_4,False,primary
106900110,"Worms, Live (kg)",112990,1129,112A00,level_4,False,primary
106900120,"Bait, Live, Except Worms (kg)",112990,1129,112A00,level_4,False,primary
106900180,"Animals, Live, Nesoi (kg)",112990,1129,112A00,level_4,False,primary
301110010,"Koi (common) Carp (cyprinus Carpio), Live (kg)",112511,1125,112A00,level_4,False,primary
301110020,"Goldfish And Crucian Carp, Live (kg)",112511,1125,112A00,level_4,False,primary
301110090,"Freshwater Fish, Ornamental, Live, Nesoi (kg)",112511,1125,112A00,level_4,False,primary
301190000,"Fish, Ornamental, Live, Nesoi (kg)",112511,1125,112A00,level_4,False,primary
301910000,"Trout, Live (kg)",112511,1125,112A00,level_4,False,primary
301920000,"EEls (anguilla Spp.), Live (kg)",112511,1125,112A00,level_4,False,primary
301930210,No description available,112511,1125,112A00,level_4,False,primary
301930290,"Carp, Live, Nesoi (kg)",112511,1125,112A00,level_4,False,primary
301940100,No description available,112511,1125,112A00,level_4,False,primary
301950000,No description available,112511,1125,112A00,level_4,False,primary
301990310,No description available,112511,1125,112A00,level_4,False,primary
301990315,No description available,112511,1125,112A00,level_4,False,primary
301990390,"Fish, Live, Nesoi (kg)",112511,1125,112A00,level_4,False,primary
302110010,"Rainbow Trout, Farmed, Fr/ch, Exc Fillet Liver Roe (kg)",112511,1125,112A00,level_4,False,primary
302110090,"Trout, Fresh/chilled, Exc Fillet Liver Roe, Nesoi (kg)",114111,114,114000,level_3,False,primary
302130013,"Chinook (king) Salmon, Farmed Fr/ch Exc Fillet Etc (kg)",112511,1125,112A00,level_4,False,primary
302130014,"Chinook (king) Salmon Fr/ch Exc Farmed, Fillet Etc (kg)",114111,114,114000,level_3,False,primary
302130022,"Chum (dog) Salmon, Fr/ch, Exc Fillet, Liver & Roe (kg)",114111,114,114000,level_3,False,primary
302130032,"Pink (humpie) Salmon, Fr/ch, Exc Fillet Liver Roe (kg)",114111,114,114000,level_3,False,primary
302130042,"Sockeye (red) Salmon, Fr/ch, Exc Fillet Liver Roe (kg)",114111,114,114000,level_3,False,primary
302130053,"Coho (silver) Salmon, Farmed Fr/ch, Exc Fillet Etc (kg)",112511,1125,112A00,level_4,False,primary
302130054,"Coho (silver) Salmon, Fr/ch Exc Farmed, Fillet Etc (kg)",114111,114,114000,level_3,False,primary
302130062,"Pacific Salmon, Fr/ch Exc Fill Etc, Nesoi (kg)",114111,114,114000,level_3,False,primary
302140003,"Atlantic Salmon, Farmed Fr/ch Exc Fillet Liver Roe (kg)",112511,1125,112A00,level_4,False,primary
302140004,"Atlantic Salmon Fr/ch Exc Farmed, Fillet Liver Etc (kg)",114111,114,114000,level_3,False,primary
302140062,"Danube Salmon, Fr/ch Exc Fill Etc, Nesoi (kg)",114111,114,114000,level_3,False,primary
302190000,"Salmonidae, Fresh Or Chilled, Exc Fillet Etc Nesoi (kg)",114111,114,114000,level_3,False,primary
302210010,"Atlantic Halibut, Fr/ch, Except Fillet, Liver, Roe (kg)",114111,114,114000,level_3,False,primary
302210020,"Pacific Halibut, Fr/ch, Except Fillet, Liver & Roe (kg)",114111,114,114000,level_3,False,primary
302210090,"Greenland Halibut (turbot), Fr/ch, Exc Fillet Etc (kg)",114111,114,114000,level_3,False,primary
302220000,No description available,114111,114,114000,level_3,False,primary
302230000,"Sole, Fresh/chilled, Except Fillets, Livers & Roes (kg)",114111,114,114000,level_3,False,primary
302240000,"Turbots, Fr/ch, Except Fillet, Liver & Roe (kg)",114111,114,114000,level_3,False,primary
