Country,impVal,continent
Mexico,505850598583.0,North America
China,438947386145.0,Asia
Canada,412695719877.0,North America
Germany,160436547928.0,Europe
Japan,148208566623.0,Asia
Vietnam,136561155809.0,Asia
"Korea, South",131549187120.0,Asia
Taiwan,116264026887.0,Asia
Ireland,103286253424.0,Europe
India,87416448578.0,Asia
Italy,76366488191.0,Europe
United Kingdom,68084468332.0,Europe
Switzerland,63425318602.0,Europe
Thailand,63328180222.0,Asia
France,59903267951.0,Europe
Malaysia,52534847955.0,Asia
Singapore,43203722903.0,Asia
Brazil,42316323621.0,South America
Netherlands,34132810238.0,Europe
Indonesia,28084737884.0,Asia
Belgium,27849850475.0,Europe
Israel,22217484849.0,Asia
Spain,21278741242.0,Europe
Sweden,17995672668.0,Europe
Colombia,17690348963.0,South America
Austria,17572012829.0,Europe
Turkey,16745664057.0,Europe
Australia,16685509840.0,Oceana
Chile,16469479956.0,South America
South Africa,14655786588.0,Africa
Philippines,14177628116.0,Asia
Poland,13688367070.0,Europe
Saudi Arabia,12733725159.0,Asia
Hungary,12703931455.0,Europe
Cambodia,12661806815.0,Asia
Costa Rica,11634905331.0,South America
Denmark,10040422224.0,Europe
Peru,9363192761.0,South America
Ecuador,8524306263.0,South America
Bangladesh,8365766327.0,Asia
Slovakia,8187354597.0,Europe
Czech Republic,8081908339.0,Europe
Finland,8029516710.0,Europe
Dominican Republic,7505430838.0,South America
United Arab Emirates,7474432624.0,Asia
Iraq,7422275381.0,Asia
Argentina,7092161169.0,South America
Portugal,6588956258.0,Europe
Norway,6583334170.0,Europe
Slovenia,6293037940.0,Europe
Venezuela,5987862777.0,South America
Hong Kong,5972900454.0,Asia
Nigeria,5699175959.0,Africa
New Zealand,5617042562.0,Oceana
Honduras,5532561721.0,South America
Guyana,5375488660.0,South America
Pakistan,5123656160.0,Asia
Guatemala,5019892412.0,South America
Nicaragua,4622325539.0,South America
Romania,3905012813.0,Europe
Jordan,3364877293.0,Asia
Trinidad and Tobago,3325877971.0,South America
Sri Lanka,3015585462.0,Asia
Russia,3007500456.0,Europe
Egypt,2546000141.0,Africa
Algeria,2461611142.0,Africa
Kazakhstan,2330749420.0,Europe
El Salvador,2311212791.0,South America
Greece,2243610292.0,Europe
Lithuania,2011564192.0,Europe
Morocco,1904884441.0,Africa
Angola,1869239166.0,Africa
Qatar,1834185727.0,Asia
Bahamas,1792373019.0,South America
Kuwait,1643605750.0,Asia
Bulgaria,1490134155.0,Europe
Libya,1465562558.0,Africa
Oman,1319991529.0,Asia
Uruguay,1228834152.0,South America
Bahrain,1204340922.0,Asia
Ukraine,1186498293.0,Europe
Ghana,1171728486.0,Africa
Tunisia,1123215612.0,Africa
Iceland,1072626837.0,Europe
Estonia,1065403980.0,Europe
Cote d'Ivoire,1014676411.0,Africa
Croatia,1000870837.0,Europe
Serbia,814350544.0,Europe
Laos,803320155.0,Asia
Kenya,737305128.0,Africa
Madagascar,733215493.0,Africa
Luxembourg,698625976.0,Europe
Burma,656460945.0,Asia
Latvia,630724805.0,Europe
Haiti,616770785.0,South America
Panama,555820472.0,South America
Bolivia,504146695.0,South America
Ethiopia,465844335.0,Africa
Botswana,405123674.0,Africa
Jamaica,361372579.0,South America
Paraguay,356152957.0,South America
Congo (Kinshasa),323100139.0,Africa
Namibia,275225098.0,Africa
Fiji,259272473.0,Oceana
Lebanon,257571987.0,Asia
Faroe Islands,249452532.0,Europe
Cameroon,248805280.0,Africa
Liechtenstein,243720520.0,Europe
Brunei,238849306.0,Asia
Lesotho,237257685.0,Africa
Senegal,235125168.0,Africa
Mauritius,234519911.0,Africa
Malta,220446394.0,Europe
Mozambique,216070589.0,Africa
Tanzania,204714855.0,Africa
Bosnia and Herzegovina,179089584.0,Europe
Macedonia,173710793.0,Europe
Gabon,171666854.0,Africa
Zambia,169112021.0,Africa
Georgia,165414171.0,Europe
Azerbaijan,157776472.0,Europe
Moldova,136495167.0,Europe
Uganda,132618139.0,Africa
Albania,128280409.0,Europe
Equatorial Guinea,127640788.0,Africa
Armenia,121583116.0,Europe
Nepal,120461589.0,Asia
Macau,108792661.0,Asia
Sint Maarten,101535218.0,South America
Suriname,90913410.0,South America
Togo,89996365.0,Africa
Belize,81128498.0,South America
Chad,80814038.0,Africa
Papua New Guinea,79150698.0,Oceana
Liberia,72529569.0,Africa
Zimbabwe,67833118.0,Africa
British Virgin Islands,60246807.0,South America
Cyprus,58860309.0,Europe
Cayman Islands,49399550.0,South America
Benin,48623404.0,Africa
Barbados,48564639.0,South America
Monaco,47589664.0,Europe
Reunion,44066856.0,Africa
Uzbekistan,42437585.0,Europe
Malawi,41054610.0,Africa
French Polynesia,40423270.0,Oceana
Congo (Brazzaville),40200821.0,Africa
Djibouti,40111250.0,Africa
Kosovo,34015946.0,Europe
New Caledonia,33844904.0,Oceana
Greenland,32585481.0,North America
Curacao,31935945.0,South America
Rwanda,30238416.0,Africa
Sierra Leone,28747850.0,Africa
Mongolia,26977440.0,Asia
San Marino,25233029.0,Europe
Antigua and Barbuda,23751550.0,South America
Bermuda,23328268.0,South America
Falkland Islands (Islas Malvinas),22756661.0,South America
Eswatini,22588609.0,Africa
Afghanistan,22588359.0,Asia
Syria,21302936.0,Asia
Marshall Islands,20448963.0,Oceana
Belarus,20048973.0,Europe
St Kitts and Nevis,19629242.0,South America
Kyrgyzstan,16668370.0,Europe
Montenegro,15382306.0,Europe
Turkmenistan,14590585.0,Europe
Grenada,14074818.0,South America
Vanuatu,13667021.0,Oceana
Sudan,13133891.0,Africa
Turks and Caicos Islands,10983629.0,South America
Aruba,10704668.0,South America
St Helena,10636649.0,Africa
Yemen,8915258.0,Asia
Niger,8306694.0,Africa
St Vincent and the Grenadines,8263880.0,South America
Seychelles,7150942.0,Africa
St Lucia,6955920.0,South America
Iran,6218491.0,Asia
Guinea,6179835.0,Africa
West Bank Administered by Israel,5998891.0,Asia
Timor-Leste,5912676.0,Asia
Samoa,5717674.0,Oceana
Montserrat,5631794.0,South America
Mali,5500278.0,Africa
Cuba,4869872.0,South America
Maldives,4765289.0,Asia
Tajikistan,4633938.0,Europe
Burkina Faso,4520666.0,Africa
Cabo Verde,4482999.0,Africa
Niue,4322244.0,Oceana
Burundi,3736684.0,Africa
St Pierre and Miquelon,3435723.0,North America
Guadeloupe,3427661.0,South America
Andorra,3369249.0,Europe
Bhutan,3281048.0,Asia
Mauritania,2854898.0,Africa
Tonga,2845246.0,Oceana
Martinique,2807758.0,South America
Somalia,2482732.0,Africa
Micronesia,2440090.0,Oceana
Dominica,2306195.0,South America
Nauru,2238924.0,Oceana
Palau,2234213.0,Oceana
Gambia,1969897.0,Africa
Mayotte,1889710.0,Africa
Comoros,1848391.0,Africa
French Guiana,1821129.0,South America
Christmas Island,1747242.0,Oceana
Central African Republic,1422027.0,Africa
Solomon Islands,1345899.0,Oceana
Anguilla,1190598.0,South America
Cocos (Keeling) Islands,1100644.0,Oceana
Cook Islands,892119.0,Oceana
Eritrea,852918.0,Africa
Kiribati,808162.0,Oceana
South Sudan,805202.0,Africa
Sao Tome and Principe,572291.0,Africa
British Indian Ocean Territories,462491.0,Africa
Gibraltar,431179.0,Europe
Tuvalu,224447.0,Oceana
Gaza Strip Administered by Israel,204870.0,Asia
Norfolk Island,191165.0,Oceana
Tokelau,177585.0,Oceana
Vatican City,170599.0,Europe
Guinea-Bissau,122848.0,Africa
"Korea, North",57465.0,Asia
"Svalbard, Jan Mayen Island",41855.0,Europe
Wallis and Futuna,39214.0,Oceana
French Southern and Antarctic Lands,36412.0,Africa
Heard and McDonald Islands,13589.0,Oceana
Pitcairn Islands,9335.0,Oceana
