detail_code,world_weight,weight_sum_diff,level,weight_type,passes_validation,usummary_code,summary_code,sector_code,region,regional_weight
1111A0,1.0,0.0,detail,world,True,,,,,
1111B0,1.0,0.0,detail,world,True,,,,,
111200,1.0,0.0,detail,world,True,,,,,
111300,1.0,0.0,detail,world,True,,,,,
111400,0.9999999999999999,-1.1102230246251565e-16,detail,world,True,,,,,
111900,1.0,0.0,detail,world,True,,,,,
1121A0,0.9999999999999999,-1.1102230246251565e-16,detail,world,True,,,,,
112300,1.0,0.0,detail,world,True,,,,,
112A00,1.0,0.0,detail,world,True,,,,,
113000,1.0,0.0,detail,world,True,,,,,
114000,1.0,0.0,detail,world,True,,,,,
115000,1.0,0.0,detail,world,True,,,,,
211000,1.0,0.0,detail,world,True,,,,,
212100,1.0,0.0,detail,world,True,,,,,
212230,1.0,0.0,detail,world,True,,,,,
2122A0,1.0,0.0,detail,world,True,,,,,
212310,1.0,0.0,detail,world,True,,,,,
2123A0,1.0,0.0,detail,world,True,,,,,
311111,1.0,0.0,detail,world,True,,,,,
311119,1.0,0.0,detail,world,True,,,,,
311210,1.0,0.0,detail,world,True,,,,,
311221,1.0,0.0,detail,world,True,,,,,
311224,1.0,0.0,detail,world,True,,,,,
311225,1.0,0.0,detail,world,True,,,,,
311230,1.0,0.0,detail,world,True,,,,,
311300,1.0,0.0,detail,world,True,,,,,
311410,1.0,0.0,detail,world,True,,,,,
311420,1.0,0.0,detail,world,True,,,,,
311513,1.0,0.0,detail,world,True,,,,,
311514,1.0,0.0,detail,world,True,,,,,
31151A,1.0,0.0,detail,world,True,,,,,
311520,1.0,0.0,detail,world,True,,,,,
311615,1.0,0.0,detail,world,True,,,,,
31161A,1.0,0.0,detail,world,True,,,,,
311700,1.0,0.0,detail,world,True,,,,,
311810,1.0,0.0,detail,world,True,,,,,
3118A0,0.9999999999999999,-1.1102230246251565e-16,detail,world,True,,,,,
311910,1.0,0.0,detail,world,True,,,,,
311920,1.0,0.0,detail,world,True,,,,,
311930,1.0,0.0,detail,world,True,,,,,
311940,1.0,0.0,detail,world,True,,,,,
311990,1.0,0.0,detail,world,True,,,,,
312110,1.0,0.0,detail,world,True,,,,,
312120,1.0,0.0,detail,world,True,,,,,
312130,1.0,0.0,detail,world,True,,,,,
312140,1.0,0.0,detail,world,True,,,,,
312200,1.0,0.0,detail,world,True,,,,,
313100,1.0,0.0,detail,world,True,,,,,
313200,1.0,0.0,detail,world,True,,,,,
313300,1.0,0.0,detail,world,True,,,,,
314110,1.0,0.0,detail,world,True,,,,,
314120,1.0,0.0,detail,world,True,,,,,
314900,1.0,0.0,detail,world,True,,,,,
315000,1.0,0.0,detail,world,True,,,,,
316000,1.0,0.0,detail,world,True,,,,,
321100,1.0,0.0,detail,world,True,,,,,
321200,1.0,0.0,detail,world,True,,,,,
321910,1.0,0.0,detail,world,True,,,,,
3219A0,1.0,0.0,detail,world,True,,,,,
322110,1.0,0.0,detail,world,True,,,,,
322120,1.0,0.0,detail,world,True,,,,,
322130,1.0,0.0,detail,world,True,,,,,
322210,1.0,0.0,detail,world,True,,,,,
322220,1.0,0.0,detail,world,True,,,,,
322230,1.0,0.0,detail,world,True,,,,,
322291,1.0,0.0,detail,world,True,,,,,
322299,1.0,0.0,detail,world,True,,,,,
323110,1.0,0.0,detail,world,True,,,,,
323120,1.0,0.0,detail,world,True,,,,,
324110,1.0,0.0,detail,world,True,,,,,
324121,1.0,0.0,detail,world,True,,,,,
324122,0.9999999999999999,-1.1102230246251565e-16,detail,world,True,,,,,
324190,1.0,0.0,detail,world,True,,,,,
325110,1.0,0.0,detail,world,True,,,,,
325120,1.0,0.0,detail,world,True,,,,,
325130,1.0,0.0,detail,world,True,,,,,
325180,1.0,0.0,detail,world,True,,,,,
325190,1.0,0.0,detail,world,True,,,,,
325211,1.0,0.0,detail,world,True,,,,,
3252A0,1.0,0.0,detail,world,True,,,,,
325310,1.0,0.0,detail,world,True,,,,,
325320,1.0,0.0,detail,world,True,,,,,
325411,1.0,0.0,detail,world,True,,,,,
325412,1.0,0.0,detail,world,True,,,,,
325413,1.0,0.0,detail,world,True,,,,,
325414,1.0,0.0,detail,world,True,,,,,
325510,1.0,0.0,detail,world,True,,,,,
325520,1.0,0.0,detail,world,True,,,,,
325610,1.0,0.0,detail,world,True,,,,,
325620,1.0,0.0,detail,world,True,,,,,
325910,1.0,0.0,detail,world,True,,,,,
3259A0,1.0,0.0,detail,world,True,,,,,
326110,1.0,0.0,detail,world,True,,,,,
326120,1.0,0.0,detail,world,True,,,,,
326160,1.0,0.0,detail,world,True,,,,,
326190,1.0,0.0,detail,world,True,,,,,
326210,1.0,0.0,detail,world,True,,,,,
326220,1.0,0.0,detail,world,True,,,,,
326290,1.0,0.0,detail,world,True,,,,,
327100,1.0,0.0,detail,world,True,,,,,
327200,1.0,0.0,detail,world,True,,,,,
327310,1.0,0.0,detail,world,True,,,,,
327320,1.0,0.0,detail,world,True,,,,,
327330,1.0,0.0,detail,world,True,,,,,
327390,1.0,0.0,detail,world,True,,,,,
327400,0.9999999999999999,-1.1102230246251565e-16,detail,world,True,,,,,
327910,1.0,0.0,detail,world,True,,,,,
327991,1.0,0.0,detail,world,True,,,,,
327992,1.0,0.0,detail,world,True,,,,,
327993,1.0,0.0,detail,world,True,,,,,
327999,1.0,0.0,detail,world,True,,,,,
331110,1.0,0.0,detail,world,True,,,,,
331200,1.0,0.0,detail,world,True,,,,,
331313,1.0,0.0,detail,world,True,,,,,
331314,1.0,0.0,detail,world,True,,,,,
33131B,1.0,0.0,detail,world,True,,,,,
331410,1.0,0.0,detail,world,True,,,,,
331420,1.0,0.0,detail,world,True,,,,,
331490,1.0,0.0,detail,world,True,,,,,
331510,1.0,0.0,detail,world,True,,,,,
331520,1.0,0.0,detail,world,True,,,,,
332119,1.0,0.0,detail,world,True,,,,,
33211A,1.0,0.0,detail,world,True,,,,,
332200,0.9999999999999999,-1.1102230246251565e-16,detail,world,True,,,,,
332310,1.0,0.0,detail,world,True,,,,,
332320,1.0,0.0,detail,world,True,,,,,
332410,1.0,0.0,detail,world,True,,,,,
332420,1.0,0.0,detail,world,True,,,,,
332430,1.0,0.0,detail,world,True,,,,,
332500,1.0,0.0,detail,world,True,,,,,
332600,1.0,0.0,detail,world,True,,,,,
332720,1.0,0.0,detail,world,True,,,,,
332913,1.0,0.0,detail,world,True,,,,,
33291A,1.0,0.0,detail,world,True,,,,,
332991,1.0,0.0,detail,world,True,,,,,
332999,1.0,0.0,detail,world,True,,,,,
33299A,1.0,0.0,detail,world,True,,,,,
333111,1.0,0.0,detail,world,True,,,,,
333112,1.0,0.0,detail,world,True,,,,,
333120,1.0,0.0,detail,world,True,,,,,
333130,1.0,0.0,detail,world,True,,,,,
333242,1.0,0.0,detail,world,True,,,,,
33329A,1.0,0.0,detail,world,True,,,,,
333314,1.0,0.0,detail,world,True,,,,,
333316,1.0,0.0,detail,world,True,,,,,
333318,1.0,0.0,detail,world,True,,,,,
333413,1.0,0.0,detail,world,True,,,,,
333414,1.0,0.0,detail,world,True,,,,,
333415,1.0,0.0,detail,world,True,,,,,
333511,1.0,0.0,detail,world,True,,,,,
333514,1.0,0.0,detail,world,True,,,,,
333517,1.0,0.0,detail,world,True,,,,,
33351B,1.0,0.0,detail,world,True,,,,,
333611,1.0,0.0,detail,world,True,,,,,
333612,1.0,0.0,detail,world,True,,,,,
333613,1.0,0.0,detail,world,True,,,,,
333618,1.0,0.0,detail,world,True,,,,,
333912,1.0,0.0,detail,world,True,,,,,
333914,1.0,0.0,detail,world,True,,,,,
333920,1.0,0.0,detail,world,True,,,,,
333991,1.0,0.0,detail,world,True,,,,,
333993,1.0,0.0,detail,world,True,,,,,
333994,1.0,0.0,detail,world,True,,,,,
33399A,1.0,0.0,detail,world,True,,,,,
33399B,1.0,0.0,detail,world,True,,,,,
334111,1.0,0.0,detail,world,True,,,,,
334112,1.0,0.0,detail,world,True,,,,,
334118,1.0,0.0,detail,world,True,,,,,
334210,0.9999999999999999,-1.1102230246251565e-16,detail,world,True,,,,,
334220,1.0,0.0,detail,world,True,,,,,
334290,1.0,0.0,detail,world,True,,,,,
334300,1.0,0.0,detail,world,True,,,,,
334413,1.0,0.0,detail,world,True,,,,,
334418,1.0,0.0,detail,world,True,,,,,
33441A,1.0,0.0,detail,world,True,,,,,
334510,1.0,0.0,detail,world,True,,,,,
334511,1.0,0.0,detail,world,True,,,,,
334512,1.0,0.0,detail,world,True,,,,,
