iso3,Country,alt_region,region,impVal
ISR,Israel,RoAsia,RoWorld,22217484849.0
TUR,Turkey,RoAsia,Europe,16745664057.0
SAU,Saudi Arabia,RoAsia,RoWorld,12733725159.0
ARE,United Arab Emirates,RoAsia,RoWorld,7474432624.0
IRQ,Iraq,RoAsia,RoWorld,7422268781.0
JOR,Jordan,RoAsia,RoWorld,3364877293.0
KAZ,Kazakhstan,RoAsia,Europe,2330743420.0
QAT,Qatar,RoAsia,RoWorld,1834179727.0
KWT,Kuwait,RoAsia,RoWorld,1643605030.0
OMN,Oman,RoAsia,RoWorld,1319991529.0
BHR,Bahrain,RoAsia,RoWorld,1204340922.0
LBN,Lebanon,RoAsia,RoWorld,257568287.0
GEO,Georgia,RoAsia,Europe,165414171.0
AZE,Azerbaijan,RoAsia,Europe,157776472.0
ARM,Armenia,RoAsia,Europe,121578616.0
UZB,Uzbekistan,RoAsia,Europe,42437585.0
GRL,Greenland,RoWorld,Europe,32585481.0
SYR,Syria,RoAsia,RoWorld,21302936.0
KGZ,Kyrgyzstan,RoAsia,Europe,16668370.0
TKM,Turkmenistan,RoAsia,Europe,14584675.0
YEM,Yemen,RoAsia,RoWorld,8915258.0
IRN,Iran,RoAsia,RoWorld,6218491.0
ISR,West Bank Administered by Israel,RoAsia,RoWorld,5998891.0
TJK,Tajikistan,RoAsia,Europe,4633938.0
IOT,British Indian Ocean Territories,RoAsia,RoWorld,462491.0
ISR,Gaza Strip Administered by Israel,RoAsia,RoWorld,204870.0
HMD,Heard and McDonald Islands,RoWorld,RoAsia,13589.0
