Country,original_impVal,june_2025_impVal,difference,percent_change
World Total,3267399357456.0,3266410195321.0,-989162135.0,-0.030273683342160004
Canada,412695719877.0,411886683368.0,-809036509.0,-0.19603704861323146
Mexico,505850598583.0,505523174525.0,-327424058.0,-0.06472742325840626
Democratic Republic of Congo,0.0,323179070.0,323179070.0,32317907000.0
Congo (Kinshasa),323100139.0,0.0,-323100139.0,-100.0
China,438947386145.0,438741998078.0,-205388067.0,-0.04679104454950621
Portugal,6588956258.0,6783865073.0,194908815.0,2.9581136581890477
Colombia,17690348963.0,17864616422.0,174267459.0,0.985099046742869
Japan,148208566623.0,148370517793.0,161951170.0,0.10927247573479153
Saudi Arabia,12733725159.0,12855823340.0,122098181.0,0.9588567326168721
France,59903267951.0,59783329349.0,-119938602.0,-0.2002204655981507
Iraq,7422275381.0,7540759781.0,118484400.0,1.5963352734567584
Switzerland,63425318602.0,63325522091.0,-99796511.0,-0.1573449108332159
Finland,8029516710.0,8123674776.0,94158066.0,1.1726492315874388
United Kingdom,68084468332.0,68167511080.0,83042748.0,0.12197017915313521
India,87416448578.0,87338082770.0,-78365808.0,-0.08964652450971594
Netherlands,34132810238.0,34055215587.0,-77594651.0,-0.22733156297108525
Monaco,47589664.0,121432670.0,73843006.0,155.16605874754651
United Arab Emirates,7474432624.0,7411016997.0,-63415627.0,-0.848433990780462
Belgium,27849850475.0,27786935658.0,-62914817.0,-0.22590719851970767
Vietnam,136561155809.0,136501146900.0,-60008909.0,-0.04394288305814496
Germany,160436547928.0,160380001936.0,-56545992.0,-0.03524508145449281
Chile,16469479956.0,16422607708.0,-46872248.0,-0.2846006560330034
Malaysia,52534847955.0,52488424825.0,-46423130.0,-0.08836635453816268
Nigeria,5699175959.0,5743846251.0,44670292.0,0.7838026465818758
Trinidad and Tobago,3325877971.0,3369960599.0,44082628.0,1.3254433381013544
Congo (Brazzaville),40200821.0,0.0,-40200821.0,-100.0
Congo,0.0,40145865.0,40145865.0,4014586500.0
Bahrain,1204340922.0,1238909205.0,34568283.0,2.87030710063342
Venezuela,5987862777.0,6021472188.0,33609411.0,0.5612922715780533
South Africa,14655786588.0,14688463366.0,32676778.0,0.2229616118097366
Indonesia,28084737884.0,28052104638.0,-32633246.0,-0.1161956580644867
Brazil,42316323621.0,42348411089.0,32087468.0,0.07582763636885553
Spain,21278741242.0,21250508208.0,-28233034.0,-0.13268188037492373
Kuwait,1643605750.0,1669394540.0,25788790.0,1.5690374653410648
Hong Kong,5972900454.0,5948045752.0,-24854702.0,-0.4161244974935924
Italy,76366488191.0,76344273682.0,-22214509.0,-0.02908934210047653
Thailand,63328180222.0,63349646604.0,21466382.0,0.03389704539866543
Singapore,43203722903.0,43184340885.0,-19382018.0,-0.044861916283270444
Ecuador,8524306263.0,8542661987.0,18355724.0,0.2153339337380868
Kazakhstan,2330749420.0,2348972335.0,18222915.0,0.7818478830727329
Lithuania,2011564192.0,2029345424.0,17781232.0,0.8839505132730062
Norway,6583334170.0,6600848754.0,17514584.0,0.2660442801128535
Australia,16685509840.0,16668877321.0,-16632519.0,-0.09968241401966055
Cambodia,12661806815.0,12645678620.0,-16128195.0,-0.12737672621014476
Philippines,14177628116.0,14161845726.0,-15782390.0,-0.11131897289779356
Israel,22217484849.0,22206231278.0,-11253571.0,-0.050651867556045706
Sweden,17995672668.0,17984515767.0,-11156901.0,-0.061997688032185985
Syria,21302936.0,10675050.0,-10627886.0,-49.88930164367954
Hungary,12703931455.0,12694204236.0,-9727219.0,-0.07656857276391846
Jordan,3364877293.0,3355416708.0,-9460585.0,-0.28115690933755544
Costa Rica,11634905331.0,11625457625.0,-9447706.0,-0.08120139985004919
Czech Republic,8081908339.0,8072730961.0,-9177378.0,-0.1135545915030205
Taiwan,116264026887.0,116255001638.0,-9025249.0,-0.007762718393344376
Ukraine,1186498293.0,1179121662.0,-7376631.0,-0.6217144216321262
Poland,13688367070.0,13695579783.0,7212713.0,0.052692282162769326
Bangladesh,8365766327.0,8358699586.0,-7066741.0,-0.08447212991346083
Slovakia,8187354597.0,8181376310.0,-5978287.0,-0.0730185425484143
Romania,3905012813.0,3910346331.0,5333518.0,0.13658131881781357
Ireland,103286253424.0,103281107261.0,-5146163.0,-0.004982427795957034
Pakistan,5123656160.0,5118661697.0,-4994463.0,-0.09747849668350891
New Zealand,5617042562.0,5612250138.0,-4792424.0,-0.08531934638383108
Denmark,10040422224.0,10035959358.0,-4462866.0,-0.04444898730784691
