Country,impVal,Unnamed: 4
World Total,3266410195321.0,
Mexico,505523174525.0,
China,438741998078.0,
Canada,411886683368.0,
Germany,160380001936.0,
Japan,148370517793.0,
Vietnam,136501146900.0,
"Korea, South",131553159443.0,
Taiwan,116255001638.0,
Ireland,103281107261.0,
India,87338082770.0,
Italy,76344273682.0,
United Kingdom,68167511080.0,
Thailand,63349646604.0,
Switzerland,63325522091.0,
France,59783329349.0,
Malaysia,52488424825.0,
Singapore,43184340885.0,
Brazil,42348411089.0,
Netherlands,34055215587.0,
Indonesia,28052104638.0,
Belgium,27786935658.0,
Israel,22206231278.0,
Spain,21250508208.0,
Sweden,17984515767.0,
Colombia,17864616422.0,
Austria,17573286978.0,
Turkey,16749955433.0,
Australia,16668877321.0,
Chile,16422607708.0,
South Africa,14688463366.0,
Philippines,14161845726.0,
Poland,13695579783.0,
Saudi Arabia,12855823340.0,
Hungary,12694204236.0,
Cambodia,12645678620.0,
Costa Rica,11625457625.0,
Denmark,10035959358.0,
Peru,9362255918.0,
Ecuador,8542661987.0,
Bangladesh,8358699586.0,
Slovakia,8181376310.0,
Finland,8123674776.0,
Czech Republic,8072730961.0,
Iraq,7540759781.0,
Dominican Republic,7501518436.0,
United Arab Emirates,7411016997.0,
Argentina,7096584789.0,
Portugal,6783865073.0,
Norway,6600848754.0,
Slovenia,6291803638.0,
Venezuela,6021472188.0,
Hong Kong,5948045752.0,
Nigeria,5743846251.0,
New Zealand,5612250138.0,
Honduras,5531307173.0,
Guyana,5375413452.0,
Pakistan,5118661697.0,
Guatemala,5017519908.0,
Nicaragua,4620599864.0,
Romania,3910346331.0,
Trinidad and Tobago,3369960599.0,
Jordan,3355416708.0,
Sri Lanka,3013844753.0,
Russia,3007309060.0,
Egypt,2545084546.0,
Algeria,2461611826.0,
Kazakhstan,2348972335.0,
El Salvador,2310594296.0,
Greece,2242727424.0,
Lithuania,2029345424.0,
Morocco,1903172523.0,
Angola,1869239166.0,
Qatar,1835759642.0,
Bahamas,1792370327.0,
Kuwait,1669394540.0,
Bulgaria,1489084413.0,
Libya,1465240472.0,
Oman,1324176776.0,
Bahrain,1238909205.0,
Uruguay,1232545969.0,
Ukraine,1179121662.0,
Ghana,1173907743.0,
Tunisia,1122719556.0,
Iceland,1072509439.0,
Estonia,1065177975.0,
Cote d'Ivoire,1014712870.0,
Croatia,1000109643.0,
Serbia,814215370.0,
Laos,802837802.0,
Kenya,737076853.0,
Madagascar,731744579.0,
Luxembourg,698269412.0,
Burma,652374896.0,
Latvia,630806662.0,
Haiti,615559640.0,
Panama,554906160.0,
Bolivia,502846157.0,
Ethiopia,465526679.0,
Botswana,405123674.0,
Jamaica,362804612.0,
Paraguay,355572543.0,
Democratic Republic of Congo,323179070.0,
Namibia,274591776.0,
Fiji,258456190.0,
Lebanon,256568084.0,
Faroe Islands,249375648.0,
Cameroon,247114466.0,
Liechtenstein,243316162.0,
Brunei,238619776.0,
Lesotho,237206328.0,
Senegal,235093091.0,
Mauritius,234451101.0,
Malta,220284545.0,
Mozambique,215993914.0,
Tanzania,204773284.0,
Bosnia and Herzegovina,178941279.0,
Macedonia,173451725.0,
Gabon,171639492.0,
Zambia,168542652.0,
Georgia,165403764.0,
Azerbaijan,157811904.0,
Moldova,136234076.0,
Uganda,132082589.0,
Albania,128274821.0,
Equatorial Guinea,127640788.0,
Monaco,121432670.0,
Armenia,121300844.0,
Nepal,120443138.0,
Macau,108661739.0,
Sint Maarten,101443920.0,
Suriname,90796887.0,
Togo,89973332.0,
Belize,81128498.0,
Chad,80814038.0,
Papua New Guinea,79132633.0,
Liberia,72490723.0,
Zimbabwe,66861338.0,
British Virgin Islands,60193702.0,
Cyprus,58697290.0,
Cayman Islands,49045381.0,
Benin,48623404.0,
Barbados,48586697.0,
Reunion,44066856.0,
Uzbekistan,42437585.0,
French Polynesia,40435312.0,
Congo,40145865.0,
Djibouti,40100763.0,
Malawi,39736916.0,
Kosovo,34165397.0,
New Caledonia,33757732.0,
Greenland,32585481.0,
Curacao,31935945.0,
Rwanda,30235112.0,
Sierra Leone,28747361.0,
Mongolia,27296351.0,
San Marino,25220499.0,
Antigua and Barbuda,23735540.0,
Bermuda,23286452.0,
Falkland Islands (Islas Malvinas),22756661.0,
Afghanistan,22595020.0,
Eswatini,22564609.0,
Marshall Islands,20446584.0,
Belarus,20060013.0,
St Kitts and Nevis,19477948.0,
