region,usummary_code,usummary_name,HS_total_imports,TiVA_total_imports,difference,pct_difference,likely_services,has_hierarchical_match,hs_codes,hs_descriptions,primary_bea_mappings,alternative_bea_mappings,mapping_sources
RoWorld,323,Printing and related support activities,124107494.0,-25000000,149107494.0,120.14382789809615,,,,,,,
Europe,6215OH,Other ambulatory health care services,0.0,32000000,-32000000.0,100.0,✓,,,,,,
Europe,6214,Outpatient care centers,0.0,11000000,-11000000.0,100.0,✓,,,,,,
Europe,6213,Offices of other health practitioners,0.0,11000000,-11000000.0,100.0,✓,,,,,,
Europe,6212,Offices of dentists,0.0,11000000,-11000000.0,100.0,✓,,,,,,
JPN,3122,Tobacco manufacturing,52492.0,0,52492.0,100.0,,,,,,,
JPN,2211,"Electric power generation, transmission, and distribution",0.0,7000000,-7000000.0,100.0,✓,,,,,,
Europe,562,Waste management and remediation services,0.0,189000000,-189000000.0,100.0,✓,,,,,,
Europe,622,Hospitals,0.0,3794000000,-3794000000.0,100.0,✓,,,,,,
Europe,5613,Employment services,0.0,1354000000,-1354000000.0,100.0,✓,,,,,,
Europe,541X,"Specialized design services and other professional, scientific, and technical services",0.0,2477000000,-2477000000.0,100.0,✓,,,,,,
Europe,5418,"Advertising, public relations, and related services",0.0,5566000000,-5566000000.0,100.0,✓,,,,,,
Europe,5417,Scientific research and development services,0.0,14433000000,-14433000000.0,100.0,✓,,,,,,
Europe,5416,"Management, scientific, and technical consulting services",0.0,24621000000,-24621000000.0,100.0,✓,,,,,,
Europe,5415,Computer systems design and related services,0.0,18044000000,-18044000000.0,100.0,✓,,,,,,
Europe,5413,"Architectural, engineering, and related services",0.0,5013000000,-5013000000.0,100.0,✓,,,,,,
Europe,561X,Other administrative and support services,0.0,290000000,-290000000.0,100.0,✓,,,,,,
JPN,5417,Scientific research and development services,0.0,815000000,-815000000.0,100.0,✓,,,,,,
JPN,213,Support activities for mining,0.0,4000000,-4000000.0,100.0,✓,,,,,,
RoWorld,2211,"Electric power generation, transmission, and distribution",0.0,14000000,-14000000.0,100.0,✓,,,,,,
RoWorld,213,Support activities for mining,0.0,865000000,-865000000.0,100.0,✓,,,,,,
