hs_code,mapping_type,hs_code_2021,naics_2021,hs_code_2022,naics_2022,hs_code_2023,naics_2023,hs_code_2024,naics_2024
3003900160,inconsistent_naics,3003900160,325412,3003900160,325412,3003900160,325412,3003900160,325411
0603190195,partial_coverage,,,,,0603190195,111422,0603190195,111422
0709604078,partial_coverage,,,0709604078,111219,0709604078,111219,0709604078,111219
8802400070,partial_coverage,8802400070,336411,,,,,,
8460310040,inconsistent_naics,8460310040,333517,8460310040,333517,8460310040,333517,8460310040,930000
3403191000,inconsistent_naics,3403191000,325613,3403191000,325613,3403191000,325613,3403191000,324191
8542310030,partial_coverage,,,,,,,8542310030,334413
2937231010,inconsistent_naics,2937231010,325412,2937231010,325412,2937231010,325412,2937231010,325411
0604200074,partial_coverage,,,,,0604200074,111422,0604200074,111422
6201122010,partial_coverage,6201122010,315220,,,,,,
8514399000,partial_coverage,,,8514399000,333994,8514399000,333994,8514399000,333994
3214905000,inconsistent_naics,3214905000,325520,3214905000,325520,3214905000,325520,3214905000,325510
6210405531,inconsistent_naics,6210405531,315220,6210405531,315220,6210405531,315250,6210405531,315250
7307915030,inconsistent_naics,7307915030,332919,7307915030,332919,7307915030,332919,7307915030,332996
6103398010,inconsistent_naics,6103398010,315220,6103398010,315220,6103398010,315250,6103398010,315250
8704520040,partial_coverage,,,8704520040,336120,8704520040,336120,8704520040,336120
6110190070,inconsistent_naics,6110190070,315220,6110190070,315220,6110190070,315250,6110190070,315250
8802120140,partial_coverage,,,8802120140,336411,8802120140,336411,8802120140,336411
0712341000,partial_coverage,,,0712341000,311423,0712341000,311423,0712341000,311423
4418999110,partial_coverage,,,4418999110,321213,4418999110,321215,4418999110,321215
7304598080,inconsistent_naics,7304598080,331110,7304598080,331110,7304598080,331110,7304598080,331210
9013908000,inconsistent_naics,9013908000,333314,9013908000,333314,9013908000,333310,9013908000,333310
6211421060,inconsistent_naics,6211421060,315240,6211421060,315240,6211421060,315250,6211421060,315250
3816000050,partial_coverage,3816000050,327120,,,,,,
6203436005,inconsistent_naics,6203436005,315220,6203436005,315220,6203436005,315250,6203436005,315250
8506600010,partial_coverage,,,,,8506600010,335910,8506600010,335910
6201901900,partial_coverage,,,6201901900,315220,6201901900,315250,6201901900,315250
6211396050,inconsistent_naics,6211396050,315220,6211396050,315220,6211396050,315250,6211396050,315250
