hs_code,naics_2022_mapped,naics_2024,mapping_source,original_bea_naics,original_bea_code,original_naics_mds,impVal
9999950000,990000,990000,direct_2022,S00300,S00300,990000,24458159875.0
9801001028,980000,980000,direct_2022,S00300,S00300,980000,18645561746.0
9801001035,980000,980000,direct_2022,S00300,S00300,980000,13229440701.0
9801001098,980000,980000,direct_2022,S00300,S00300,980000,9543041085.0
9801001045,980000,980000,direct_2022,S00300,S00300,980000,8961700679.0
9801001055,980000,980000,direct_2022,S00300,S00300,980000,8582508555.0
9801001090,980000,980000,direct_2022,S00300,S00300,980000,8229466655.0
9801001097,980000,980000,direct_2022,S00300,S00300,980000,4294537382.0
9701910000,930000,930000,direct_2022,S00300,S00300,930000,4213463499.0
9802005060,980000,980000,direct_2022,S00300,S00300,980000,4137658258.0
9801001079,980000,980000,direct_2022,S00300,S00300,980000,3893593197.0
9801001066,980000,980000,direct_2022,S00300,S00300,980000,3875278078.0
9801001030,980000,980000,direct_2022,S00300,S00300,980000,3486575120.0
9801001075,980000,980000,direct_2022,S00300,S00300,980000,2697243547.0
2716000000,990000,990000,direct_2022,S00300,S00300,990000,2256814142.0
9801001065,980000,980000,direct_2022,S00300,S00300,980000,2150470107.0
9701210000,930000,930000,direct_2022,S00300,S00300,930000,1680757708.0
9817005000,990000,990000,direct_2022,S00300,S00300,990000,1625410037.0
9801001053,980000,980000,direct_2022,S00300,S00300,980000,1501242885.0
9703900000,930000,930000,direct_2022,S00300,S00300,930000,1335829948.0
8703240190,930000,930000,direct_2022,S00300,S00300,930000,1126995086.0
9801001077,980000,980000,direct_2022,S00300,S00300,980000,1033470119.0
7112920100,910000,910000,direct_2022,S00300,S00300,910000,936550033.0
9801001067,980000,980000,direct_2022,S00300,S00300,980000,934287755.0
9801001043,980000,980000,direct_2022,S00300,S00300,980000,905753436.0
8703800080,930000,930000,consolidated_naics,336111,336111,336111,715015166.0
8703230190,930000,930000,direct_2022,S00300,S00300,930000,674091746.0
7112910100,910000,910000,direct_2022,S00300,S00300,910000,519420724.0
9801001049,980000,980000,direct_2022,S00300,S00300,980000,509824719.0
9801001051,980000,980000,direct_2022,S00300,S00300,980000,499616083.0
7112990100,910000,910000,direct_2022,S00300,S00300,910000,495614484.0
7204410020,910000,910000,direct_2022,S00300,S00300,910000,456389567.0
7404006090,910000,910000,direct_2022,S00300,S00300,910000,415264941.0
7503000000,910000,910000,direct_2022,S00300,S00300,910000,393608652.0
7204490070,910000,910000,direct_2022,S00300,S00300,910000,384765496.0
7602000095,910000,910000,new_hs_code_2024,,,,372438893.0
