country_clean,iso3
Albania,ALB
Andorra,AND
Armenia,ARM
Austria,AUT
Azerbaijan,AZE
Belarus,BLR
Belgium,BEL
Bosnia and Herzegovina,BIH
Bouvet Island,BVT
Bulgaria,BGR
Croatia,HRV
Cyprus,CYP
Czechia,CZE
Denmark,DNK
Estonia,EST
Faroe Islands,FRO
Finland,FIN
France,FRA
Georgia,GEO
Germany,DEU
Gibraltar,GIB
Greece,GRC
Greenland,GRL
Guernsey,GGY
Hungary,HUN
Iceland,ISL
Ireland,IRL
Isle of Man,IMN
Italy,ITA
Jersey,JEY
Kazakhstan,KAZ
Kosovo,XKX
Kyrgyz Republic,KGZ
Latvia,LVA
Liechtenstein,LIE
Lithuania,LTU
Luxembourg,LUX
Malta,MLT
Moldova,MDA
Monaco,MCO
Montenegro,MNE
Netherlands,NLD
North Macedonia,MKD
Norway,NOR
Poland,POL
Portugal,PRT
Romania,ROU
Russia,RUS
San Marino,SMR
Serbia,SRB
Slovakia,SVK
Slovenia,SVN
Spain,ESP
Svalbard and Jan Mayen Islands,SJM
Sweden,SWE
Switzerland,CHE
Tajikistan,TJK
Türkiye,TUR
Turkmenistan,TKM
Ukraine,UKR
United Kingdom,GBR
Uzbekistan,UZB
Vatican,VAT
Czechia,CZE
