"standardImports"
"Current date: 05/08/2025 10:41 AM (Eastern Daylight Time)"
"Commodity","Time","Country","Customs Value (Gen) ($US)",
"0101 Horses, Asses, Mules And Hinnies, Live","1992","Asia Near East","50,000"
"0101 Horses, Asses, Mules And Hinnies, Live","1992","Israel","50,000"
"0101 Horses, Asses, Mules And Hinnies, Live","1993","Asia Near East","94,500"
"0101 Horses, Asses, Mules And Hinnies, Live","1993","Israel","92,500"
"0101 Horses, Asses, Mules And Hinnies, Live","1993","Saudi Arabia","2,000"
"0101 Horses, Asses, Mules And Hinnies, Live","1994","Asia Near East","5,000"
"0101 Horses, Asses, Mules And Hinnies, Live","1994","Syria","5,000"
"0101 Horses, Asses, Mules And Hinnies, Live","1995","Asia Near East","32,727"
"0101 Horses, Asses, Mules And Hinnies, Live","1995","Bahrain","12,727"
"0101 Horses, Asses, Mules And Hinnies, Live","1995","Israel","20,000"
"0101 Horses, Asses, Mules And Hinnies, Live","1996","Asia Near East","30,000"
"0101 Horses, Asses, Mules And Hinnies, Live","1996","Saudi Arabia","15,000"
"0101 Horses, Asses, Mules And Hinnies, Live","1996","United Arab Emirates","15,000"
"0101 Horses, Asses, Mules And Hinnies, Live","1997","Asia Near East","52,300"
"0101 Horses, Asses, Mules And Hinnies, Live","1997","Israel","42,300"
"0101 Horses, Asses, Mules And Hinnies, Live","1997","Saudi Arabia","10,000"
"0101 Horses, Asses, Mules And Hinnies, Live","1998","Asia Near East","259,200"
"0101 Horses, Asses, Mules And Hinnies, Live","1998","Israel","18,200"
"0101 Horses, Asses, Mules And Hinnies, Live","1998","United Arab Emirates","235,000"
"0101 Horses, Asses, Mules And Hinnies, Live","1998","West Bank Administered by Israel","6,000"
"0101 Horses, Asses, Mules And Hinnies, Live","1999","Asia Near East","25,814"
"0101 Horses, Asses, Mules And Hinnies, Live","1999","Israel","12,200"
"0101 Horses, Asses, Mules And Hinnies, Live","1999","United Arab Emirates","13,614"
"0101 Horses, Asses, Mules And Hinnies, Live","2000","Asia Near East","16,500"
"0101 Horses, Asses, Mules And Hinnies, Live","2000","Israel","11,500"
"0101 Horses, Asses, Mules And Hinnies, Live","2000","United Arab Emirates","5,000"
"0101 Horses, Asses, Mules And Hinnies, Live","2001","Asia Near East","57,500"
"0101 Horses, Asses, Mules And Hinnies, Live","2001","Israel","7,500"
"0101 Horses, Asses, Mules And Hinnies, Live","2001","United Arab Emirates","50,000"
"0106 Animals, Live, Nesoi","1992","Asia Near East","60,000"
"0106 Animals, Live, Nesoi","1992","Israel","60,000"
"0106 Animals, Live, Nesoi","1993","Asia Near East","128,200"
"0106 Animals, Live, Nesoi","1993","Israel","50,000"
"0106 Animals, Live, Nesoi","1993","Yemen","78,200"
"0106 Animals, Live, Nesoi","1994","Asia Near East","4,900"
"0106 Animals, Live, Nesoi","1994","United Arab Emirates","4,900"
"0106 Animals, Live, Nesoi","1995","Asia Near East","28,609"
"0106 Animals, Live, Nesoi","1995","Israel","23,787"
"0106 Animals, Live, Nesoi","1995","Saudi Arabia","4,822"
"0106 Animals, Live, Nesoi","1996","Asia Near East","11,129"
"0106 Animals, Live, Nesoi","1996","Yemen","11,129"
"0106 Animals, Live, Nesoi","1997","Asia Near East","7,493"
"0106 Animals, Live, Nesoi","1997","Saudi Arabia","4,593"
"0106 Animals, Live, Nesoi","1997","United Arab Emirates","2,900"
"0106 Animals, Live, Nesoi","1998","Asia Near East","15,675"
"0106 Animals, Live, Nesoi","1998","United Arab Emirates","15,675"
"0106 Animals, Live, Nesoi","1999","Asia Near East","190,700"
"0106 Animals, Live, Nesoi","1999","United Arab Emirates","17,200"
"0106 Animals, Live, Nesoi","1999","Yemen","173,500"
"0106 Animals, Live, Nesoi","2000","Asia Near East","53,020"
"0106 Animals, Live, Nesoi","2000","Israel","11,520"
"0106 Animals, Live, Nesoi","2000","United Arab Emirates","4,500"
"0106 Animals, Live, Nesoi","2000","Yemen","37,000"
"0106 Animals, Live, Nesoi","2001","Asia Near East","701,458"
"0106 Animals, Live, Nesoi","2001","Israel","465,255"
"0106 Animals, Live, Nesoi","2001","Lebanon","24,318"
"0106 Animals, Live, Nesoi","2001","United Arab Emirates","6,181"
"0106 Animals, Live, Nesoi","2001","Yemen","205,704"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen","1992","Asia Near East","23,297"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen","1992","Israel","23,297"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen","1993","Asia Near East","358,473"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen","1993","Israel","358,473"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen","1994","Asia Near East","42,645"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen","1994","Israel","42,645"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen","1995","Asia Near East","103,343"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen","1995","Israel","103,343"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen","1996","Asia Near East","146,300"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen","1996","Israel","146,300"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen","1997","Asia Near East","517,711"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen","1997","Israel","517,711"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen","1998","Asia Near East","734,267"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen","1998","Israel","734,267"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen","1999","Asia Near East","941,476"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen","1999","Israel","941,476"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen","2001","Asia Near East","19,886"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen","2001","Israel","19,886"
"0210 Meat & Ed Offal Salted, Dried Etc. & Flour & Meal","1995","Asia Near East","1,700"
"0210 Meat & Ed Offal Salted, Dried Etc. & Flour & Meal","1995","Lebanon","1,700"
"0210 Meat & Ed Offal Salted, Dried Etc. & Flour & Meal","1996","Asia Near East","20,952"
"0210 Meat & Ed Offal Salted, Dried Etc. & Flour & Meal","1996","United Arab Emirates","20,952"
"0210 Meat & Ed Offal Salted, Dried Etc. & Flour & Meal","1999","Asia Near East","25,715"
"0210 Meat & Ed Offal Salted, Dried Etc. & Flour & Meal","1999","Israel","25,715"
"0301 Fish, Live","1992","Asia Near East","93,789"
"0301 Fish, Live","1992","Bahrain","16,865"
"0301 Fish, Live","1992","Israel","75,104"
"0301 Fish, Live","1992","Saudi Arabia","1,820"
"0301 Fish, Live","1993","Asia Near East","105,688"
"0301 Fish, Live","1993","Bahrain","11,918"
"0301 Fish, Live","1993","Israel","90,958"
"0301 Fish, Live","1993","Kuwait","2,812"
"0301 Fish, Live","1994","Asia Near East","217,923"
"0301 Fish, Live","1994","Bahrain","11,632"
