naics,naics22
212111,212114
212112,212115
212113,212115
212113,212114
212221,212220
212222,212220
212291,212290
212299,212290
212324,212323
212325,212323
212391,212390
212392,212390
212393,212390
212399,212390
315110,315120
315190,315120
315220,315250
315240,315250
315280,315250
316992,316990
316998,316990
321213,321215
321214,321215
322121,322120
322122,322120
325314,325315
333244,333248
333249,333248
333314,333310
333316,333310
333318,333310
333997,333998
333999,333998
334613,334610
334614,334610
335110,335139
335121,335131
335122,335132
335129,335139
335911,335910
335912,335910
336111,336110
336112,336110
337124,337126
337125,337126
424320,424350
424330,424350
425110,425120
441228,441227
441310,441330
441320,441340
442110,449110
442210,449121
442291,449122
442299,449129
443141,449210
443142,449210
444130,444140
444190,444180
444210,444230
444220,444240
445120,445131
445210,445240
445220,445250
445299,445298
445310,445320
446110,456110
446120,456120
446130,456130
446191,456191
446199,456199
447110,457110
447190,457120
448110,458110
448120,458110
448130,458110
448140,458110
448150,458110
448190,458110
448210,458210
448310,458310
448320,458320
451110,459110
451120,459120
451130,459130
451140,459140
451211,459210
451212,459210
452210,455110
452311,455211
452319,455219
453110,459310
453210,459410
453220,459420
453310,459510
453910,459910
453920,459920
453930,459930
453991,459991
453998,459999
453998,455219
453998,459991
454110,459999
454110,444240
454110,459910
454110,449210
454110,458320
454110,455211
454110,445298
454110,456191
454110,459210
454110,459510
454110,459120
454110,449121
454110,456110
454110,455110
454110,441227
454110,449129
454110,458110
454110,459420
454110,449122
454110,444180
454110,445320
454110,444230
454110,441340
454110,458310
454110,445240
454110,444140
454110,456199
454110,445250
454110,458210
454110,459310
454110,445131
454110,456130
454110,459410
454110,459110
454110,459140
454110,456120
454110,441330
454110,459920
454110,459130
454110,455219
454110,459991
454110,449110
454210,445132
454310,457210
454390,449110
454390,459991
454390,458210
454390,456110
454390,441330
454390,449129
454390,455219
454390,444230
454390,459120
454390,445250
454390,449210
454390,449121
454390,459999
454390,459130
454390,456191
454390,449122
454390,459210
454390,444140
454390,459920
454390,445320
454390,459510
454390,445298
454390,458320
454390,444180
454390,445131
454390,456199
454390,459140
454390,441340
454390,459110
454390,459410
454390,458110
454390,459310
454390,444240
454390,445240
454390,456130
454390,459910
454390,458310
454390,459420
454390,456120
511110,513110
511120,513120
511130,513130
511140,513140
511191,513191
511199,513199
511210,513210
515111,516210
515112,516110
515120,516210
515120,516120
515210,516210
517311,517111
517312,517122
517312,517112
517911,517122
517911,517121
517919,517810
519110,516210
519120,519210
519130,513191
519130,513130
519130,516210
519130,513120
519130,513140
519130,519290
519130,513110
519130,513199
519190,519290
522120,522180
522190,522180
522293,522299
522294,522299
522298,522299
523110,523150
523120,523150
523130,523160
523140,523160
523920,523940
523930,523940
811112,811114
811113,811114
811118,811114
811211,811210
811212,811210
811213,811210
811219,811210
