naics,naics22,mapping_type
111110,111110,self_mapping
111120,111120,self_mapping
111130,111130,self_mapping
111140,111140,self_mapping
111150,111150,self_mapping
111160,111160,self_mapping
111191,111191,self_mapping
111199,111199,self_mapping
111211,111211,self_mapping
111219,111219,self_mapping
111310,111310,self_mapping
111320,111320,self_mapping
111331,111331,self_mapping
111332,111332,self_mapping
111333,111333,self_mapping
111334,111334,self_mapping
111335,111335,self_mapping
111336,111336,self_mapping
111339,111339,self_mapping
111411,111411,self_mapping
111419,111419,self_mapping
111421,111421,self_mapping
111422,111422,self_mapping
111910,111910,self_mapping
111920,111920,self_mapping
111930,111930,self_mapping
111940,111940,self_mapping
111991,111991,self_mapping
111992,111992,self_mapping
111998,111998,self_mapping
112111,112111,self_mapping
112112,112112,self_mapping
112120,112120,self_mapping
112130,112130,self_mapping
112210,112210,self_mapping
112310,112310,self_mapping
112320,112320,self_mapping
112330,112330,self_mapping
112340,112340,self_mapping
112390,112390,self_mapping
112410,112410,self_mapping
112420,112420,self_mapping
112511,112511,self_mapping
112512,112512,self_mapping
112519,112519,self_mapping
112910,112910,self_mapping
112920,112920,self_mapping
112930,112930,self_mapping
112990,112990,self_mapping
113110,113110,self_mapping
113210,113210,self_mapping
113310,113310,self_mapping
114111,114111,self_mapping
114112,114112,self_mapping
114119,114119,self_mapping
114210,114210,self_mapping
115111,115111,self_mapping
115112,115112,self_mapping
115113,115113,self_mapping
115114,115114,self_mapping
115115,115115,self_mapping
115116,115116,self_mapping
115210,115210,self_mapping
115310,115310,self_mapping
211120,211120,self_mapping
211130,211130,self_mapping
212113,212114,official_crosswalk
212111,212114,official_crosswalk
212112,212115,official_crosswalk
212113,212115,official_crosswalk
212210,212210,self_mapping
212222,212220,official_crosswalk
212221,212220,official_crosswalk
212230,212230,self_mapping
212299,212290,official_crosswalk
212291,212290,official_crosswalk
212311,212311,self_mapping
212312,212312,self_mapping
212313,212313,self_mapping
212319,212319,self_mapping
212321,212321,self_mapping
212322,212322,self_mapping
212324,212323,official_crosswalk
212325,212323,official_crosswalk
212391,212390,official_crosswalk
212399,212390,official_crosswalk
212393,212390,official_crosswalk
212392,212390,official_crosswalk
213111,213111,self_mapping
213112,213112,self_mapping
213113,213113,self_mapping
213114,213114,self_mapping
213115,213115,self_mapping
221111,221111,self_mapping
221112,221112,self_mapping
221113,221113,self_mapping
221114,221114,self_mapping
221115,221115,self_mapping
221116,221116,self_mapping
221117,221117,self_mapping
221118,221118,self_mapping
221121,221121,self_mapping
221122,221122,self_mapping
221210,221210,self_mapping
221310,221310,self_mapping
221320,221320,self_mapping
221330,221330,self_mapping
236115,236115,self_mapping
236116,236116,self_mapping
236117,236117,self_mapping
236118,236118,self_mapping
236210,236210,self_mapping
236220,236220,self_mapping
237110,237110,self_mapping
237120,237120,self_mapping
237130,237130,self_mapping
237210,237210,self_mapping
237310,237310,self_mapping
237990,237990,self_mapping
238110,238110,self_mapping
238120,238120,self_mapping
238130,238130,self_mapping
238140,238140,self_mapping
238150,238150,self_mapping
238160,238160,self_mapping
238170,238170,self_mapping
238190,238190,self_mapping
238210,238210,self_mapping
238220,238220,self_mapping
238290,238290,self_mapping
238310,238310,self_mapping
238320,238320,self_mapping
238330,238330,self_mapping
238340,238340,self_mapping
238350,238350,self_mapping
238390,238390,self_mapping
238910,238910,self_mapping
238990,238990,self_mapping
311111,311111,self_mapping
311119,311119,self_mapping
311211,311211,self_mapping
311212,311212,self_mapping
311213,311213,self_mapping
311221,311221,self_mapping
311224,311224,self_mapping
311225,311225,self_mapping
311230,311230,self_mapping
311313,311313,self_mapping
311314,311314,self_mapping
311340,311340,self_mapping
311351,311351,self_mapping
311352,311352,self_mapping
311411,311411,self_mapping
311412,311412,self_mapping
311421,311421,self_mapping
311422,311422,self_mapping
311423,311423,self_mapping
311511,311511,self_mapping
311512,311512,self_mapping
311513,311513,self_mapping
311514,311514,self_mapping
311520,311520,self_mapping
311611,311611,self_mapping
311612,311612,self_mapping
311613,311613,self_mapping
311615,311615,self_mapping
311710,311710,self_mapping
311811,311811,self_mapping
311812,311812,self_mapping
311813,311813,self_mapping
311821,311821,self_mapping
311824,311824,self_mapping
311830,311830,self_mapping
311911,311911,self_mapping
311919,311919,self_mapping
311920,311920,self_mapping
311930,311930,self_mapping
311941,311941,self_mapping
311942,311942,self_mapping
311991,311991,self_mapping
311999,311999,self_mapping
312111,312111,self_mapping
312112,312112,self_mapping
312113,312113,self_mapping
312120,312120,self_mapping
312130,312130,self_mapping
312140,312140,self_mapping
312230,312230,self_mapping
313110,313110,self_mapping
313210,313210,self_mapping
313220,313220,self_mapping
313230,313230,self_mapping
313240,313240,self_mapping
313310,313310,self_mapping
313320,313320,self_mapping
314110,314110,self_mapping
314120,314120,self_mapping
314910,314910,self_mapping
314994,314994,self_mapping
314999,314999,self_mapping
315110,315120,official_crosswalk
315190,315120,official_crosswalk
315210,315210,self_mapping
315280,315250,official_crosswalk
315240,315250,official_crosswalk
315220,315250,official_crosswalk
315990,315990,self_mapping
316110,316110,self_mapping
316210,316210,self_mapping
316998,316990,official_crosswalk
316992,316990,official_crosswalk
321113,321113,self_mapping
321114,321114,self_mapping
321211,321211,self_mapping
321212,321212,self_mapping
321214,321215,official_crosswalk
321213,321215,official_crosswalk
321219,321219,self_mapping
321911,321911,self_mapping
321912,321912,self_mapping
321918,321918,self_mapping
321920,321920,self_mapping
321991,321991,self_mapping
321992,321992,self_mapping
321999,321999,self_mapping
322110,322110,self_mapping
322121,322120,official_crosswalk
322122,322120,official_crosswalk
322130,322130,self_mapping
322211,322211,self_mapping
322212,322212,self_mapping
322219,322219,self_mapping
