commodity,naics,naicsX,naicsMDS,mapping_method
101210010,112920,112920,112920,direct_2017
101210020,112920,112920,112920,direct_2017
101290010,112920,112920,112920,direct_2017
101290090,112920,112920,112920,direct_2017
101300000,112920,112920,112920,direct_2017
101903000,112920,112920,112920,direct_2017
101904000,112920,112920,112920,direct_2017
102210010,11211X,1121XX,11211X,direct_2017
102210020,11211X,1121XX,11211X,direct_2017
102210030,11211X,1121XX,11211X,direct_2017
102210050,11211X,1121XX,11211X,direct_2017
102292011,11211X,1121XX,11211X,direct_2017
102292012,11211X,1121XX,11211X,direct_2017
102294024,11211X,1121XX,11211X,direct_2017
102294028,11211X,1121XX,11211X,direct_2017
102294034,11211X,1121XX,11211X,direct_2017
102294038,11211X,1121XX,11211X,direct_2017
102294054,11211X,1121XX,11211X,direct_2017
102294058,11211X,1121XX,11211X,direct_2017
102294062,11211X,1121XX,11211X,direct_2017
102294064,11211X,1121XX,11211X,direct_2017
102294066,11211X,1121XX,11211X,direct_2017
102294068,11211X,1121XX,11211X,direct_2017
102294072,11211X,1121XX,11211X,direct_2017
102294074,11211X,1121XX,11211X,direct_2017
102294082,11211X,1121XX,11211X,direct_2017
102294084,11211X,1121XX,11211X,direct_2017
102310010,11211X,1121XX,11211X,direct_2017
102310020,11211X,1121XX,11211X,direct_2017
102390010,112990,112990,112990,direct_2017
102390024,11211X,1121XX,11211X,direct_2017
102390028,11211X,1121XX,11211X,direct_2017
102390034,11211X,1121XX,11211X,direct_2017
102390038,11211X,1121XX,11211X,direct_2017
102390054,11211X,1121XX,11211X,direct_2017
102390058,11211X,1121XX,11211X,direct_2017
102390061,11211X,1121XX,11211X,direct_2017
102390072,11211X,1121XX,11211X,direct_2017
102390074,11211X,1121XX,11211X,direct_2017
102390082,11211X,1121XX,11211X,direct_2017
102390084,11211X,1121XX,11211X,direct_2017
102900000,11211X,1121XX,11211X,direct_2017
103100000,112210,112210,112210,direct_2017
103910010,112210,112210,112210,direct_2017
103910020,112210,112210,112210,direct_2017
103910030,112210,112210,112210,direct_2017
103920010,112210,112210,112210,direct_2017
103920020,112210,112210,112210,direct_2017
103920091,112210,112210,112210,direct_2017
