Country,impVal,hs_code,hs2_code
Australia,17177724.0,0101290090,01
Christmas Island,19835.0,0101290090,01
New Zealand,2620968.0,0101290090,01
Australia,9744.0,0102294058,01
Australia,234358.0,0106110000,01
Australia,145659.0,0106199120,01
New Zealand,57000.0,0106199120,01
Australia,2340.0,0106199195,01
New Zealand,2500.0,0106199195,01
Australia,95389.0,0106390100,01
Australia,27293.0,0201201000,02
Australia,18252809.0,0201205025,02
New Zealand,1085352.0,0201205025,02
Australia,407659.0,0201205035,02
Australia,4801801.0,0201205045,02
New Zealand,238449.0,0201205045,02
Australia,34628.0,0201205065,02
Australia,412102.0,0201205091,02
Australia,379602.0,0201301000,02
Australia,169356.0,0201303000,02
Australia,84408477.0,0201305025,02
New Zealand,21571283.0,0201305025,02
Australia,24212370.0,0201305035,02
New Zealand,6617251.0,0201305035,02
Australia,182697906.0,0201305045,02
New Zealand,29830754.0,0201305045,02
Australia,21819211.0,0201305055,02
New Zealand,707980.0,0201305055,02
Australia,40200914.0,0201305065,02
New Zealand,4635464.0,0201305065,02
Australia,26379870.0,0201305075,02
New Zealand,2343352.0,0201305075,02
Australia,707636091.0,0201305085,02
New Zealand,35601245.0,0201305085,02
Australia,417176.0,0201308090,02
Australia,1071990.0,0202101090,02
Australia,185844.0,0202200200,02
Australia,878117.0,0202205025,02
New Zealand,404436.0,0202205025,02
New Zealand,26532.0,0202205045,02
Australia,1306935.0,0202205090,02
New Zealand,49950.0,0202205090,02
Australia,4548.0,0202208000,02
New Zealand,5354.0,0202208000,02
Australia,27104.0,0202301000,02
Australia,10755.0,0202303000,02
New Zealand,15843118.0,0202305015,02
Australia,74902737.0,0202305025,02
New Zealand,6076098.0,0202305025,02
Australia,7374310.0,0202305035,02
New Zealand,17895413.0,0202305035,02
Australia,29018503.0,0202305045,02
New Zealand,16049320.0,0202305045,02
Australia,25357334.0,0202305055,02
New Zealand,2728882.0,0202305055,02
Australia,10422153.0,0202305065,02
New Zealand,1112527.0,0202305065,02
Australia,30736634.0,0202305075,02
New Zealand,5298767.0,0202305075,02
Australia,1474744167.0,0202305085,02
New Zealand,958017268.0,0202305085,02
Australia,154748.0,0202308000,02
New Zealand,354235.0,0202308000,02
Australia,102536.0,0204100000,02
Australia,65738.0,0204210000,02
Australia,16646385.0,0204222010,02
New Zealand,3361741.0,0204222010,02
Australia,10099938.0,0204222020,02
New Zealand,3493348.0,0204222020,02
Australia,79292620.0,0204222030,02
New Zealand,16870192.0,0204222030,02
Australia,328665072.0,0204222090,02
New Zealand,55893624.0,0204222090,02
New Zealand,13203.0,0204224000,02
Australia,150098667.0,0204232000,02
New Zealand,19959665.0,0204232000,02
Australia,13037958.0,0204300000,02
New Zealand,8623128.0,0204300000,02
Australia,19301000.0,0204410000,02
New Zealand,2612230.0,0204410000,02
Australia,14103893.0,0204422010,02
New Zealand,25334477.0,0204422010,02
Australia,9685647.0,0204422020,02
New Zealand,11731932.0,0204422020,02
Australia,7143012.0,0204422030,02
New Zealand,6325028.0,0204422030,02
Australia,102130182.0,0204422090,02
New Zealand,177113900.0,0204422090,02
Australia,56851987.0,0204424000,02
New Zealand,11132011.0,0204424000,02
Australia,150463296.0,0204432000,02
New Zealand,38892419.0,0204432000,02
Australia,2087806.0,0204434000,02
