Country,impVal,hs_code,hs2_code
Argentina,106950.0,0101210010,01
Brazil,1309497.0,0101210010,01
Chile,118000.0,0101210010,01
Colombia,11228.0,0101210010,01
Ecuador,3000.0,0101210010,01
Uruguay,24000.0,0101210010,01
Venezuela,4900.0,0101210010,01
Argentina,1717947.0,0101210020,01
Brazil,766256.0,0101210020,01
Chile,3673000.0,0101210020,01
Colombia,18697.0,0101210020,01
Ecuador,22000.0,0101210020,01
Uruguay,243263.0,0101210020,01
Venezuela,5000.0,0101210020,01
Argentina,7415096.0,0101290090,01
Brazil,4173370.0,0101290090,01
Chile,4029500.0,0101290090,01
Colombia,429241.0,0101290090,01
Ecuador,9000.0,0101290090,01
Peru,38800.0,0101290090,01
Uruguay,26000.0,0101290090,01
Brazil,212128.0,0105110010,01
Peru,35200.0,0106110000,01
Argentina,98000.0,0106199120,01
Brazil,15737.0,0106199120,01
Chile,14600.0,0106199120,01
Colombia,29400.0,0106199120,01
Guyana,3000.0,0106199120,01
Paraguay,3000.0,0106199120,01
Peru,12500.0,0106199120,01
Colombia,2400.0,0106199195,01
Guyana,4000.0,0106199195,01
Peru,10000.0,0106199195,01
Brazil,9405.0,0106200000,01
Colombia,33572.0,0106200000,01
Ecuador,83343.0,0106200000,01
Guyana,109324.0,0106200000,01
Peru,241650.0,0106200000,01
Suriname,274714.0,0106200000,01
Venezuela,16920.0,0106200000,01
Suriname,58890.0,0106390100,01
Colombia,37803.0,0106490090,01
Ecuador,385047.0,0106490090,01
Chile,880287.0,0106900110,01
Chile,26477.0,0106900180,01
Colombia,22804.0,0106900180,01
Ecuador,190370.0,0106900180,01
Guyana,103217.0,0106900180,01
Suriname,15530.0,0106900180,01
Venezuela,2400.0,0106900180,01
Argentina,174769.0,0201301000,02
Uruguay,38032.0,0201301000,02
Argentina,7836608.0,0201305025,02
Brazil,1563616.0,0201305025,02
Uruguay,3642084.0,0201305025,02
Argentina,769186.0,0201305035,02
Uruguay,218897.0,0201305035,02
Argentina,14407753.0,0201305045,02
Brazil,2292931.0,0201305045,02
Uruguay,6301298.0,0201305045,02
Argentina,1362210.0,0201305055,02
Brazil,1498781.0,0201305055,02
Uruguay,32293.0,0201305055,02
Argentina,587126.0,0201305065,02
Brazil,100355.0,0201305065,02
Uruguay,1168216.0,0201305065,02
Argentina,807418.0,0201305075,02
Uruguay,173870.0,0201305075,02
Argentina,42277762.0,0201305085,02
Brazil,1264985.0,0201305085,02
Paraguay,130278.0,0201305085,02
Uruguay,52454180.0,0201305085,02
Argentina,6140619.0,0201308090,02
Brazil,63651586.0,0201308090,02
Chile,25935.0,0201308090,02
Paraguay,3895790.0,0201308090,02
Uruguay,32770891.0,0201308090,02
Argentina,8667.0,0202208000,02
Argentina,23996.0,0202301000,02
Argentina,450089.0,0202305025,02
Brazil,5678560.0,0202305025,02
Uruguay,138562.0,0202305025,02
Argentina,861711.0,0202305035,02
Brazil,1327692.0,0202305035,02
Uruguay,19213.0,0202305035,02
Argentina,1383427.0,0202305045,02
Brazil,14042507.0,0202305045,02
Paraguay,240583.0,0202305045,02
Uruguay,468849.0,0202305045,02
Argentina,694256.0,0202305055,02
Brazil,17087194.0,0202305055,02
Paraguay,2408020.0,0202305055,02
Uruguay,68738.0,0202305055,02
Argentina,3041262.0,0202305065,02
Brazil,4634193.0,0202305065,02
Uruguay,654307.0,0202305065,02
Argentina,92354.0,0202305075,02
Brazil,944090.0,0202305075,02
Paraguay,152010.0,0202305075,02
Uruguay,4840506.0,0202305075,02
Argentina,84622528.0,0202305085,02
Brazil,390591032.0,0202305085,02
Paraguay,16308961.0,0202305085,02
Uruguay,103627577.0,0202305085,02
Argentina,49165119.0,0202308000,02
Brazil,462468654.0,0202308000,02
Paraguay,67425864.0,0202308000,02
Uruguay,335251334.0,0202308000,02
Brazil,182530.0,0203194010,02
Brazil,76473.0,0203221000,02
Brazil,11190017.0,0203229000,02
Chile,195964.0,0203229000,02
Brazil,3167720.0,0203292000,02
Brazil,86340960.0,0203294000,02
Chile,10789772.0,0203294000,02
Uruguay,103202.0,0203294000,02
Chile,576904.0,0204100000,02
Chile,17872.0,0204222010,02
Chile,23912.0,0204222020,02
Chile,34442.0,0204222030,02
Chile,175685.0,0204222090,02
Chile,307144.0,0204232000,02
Chile,2193978.0,0204300000,02
Uruguay,251877.0,0204300000,02
Uruguay,187158.0,0204410000,02
Chile,507163.0,0204422010,02
Chile,422689.0,0204422020,02
Uruguay,4031.0,0204422020,02
Chile,1701954.0,0204422090,02
Uruguay,154427.0,0204422090,02
Chile,2046349.0,0204432000,02
Uruguay,111450.0,0204432000,02
Argentina,4242152.0,0206100000,02
Chile,9599.0,0206100000,02
Uruguay,705982.0,0206100000,02
Argentina,1947654.0,0206290000,02
Brazil,370170.0,0206290000,02
Colombia,68516.0,0206290000,02
Paraguay,581358.0,0206290000,02
Uruguay,22046643.0,0206290000,02
Chile,164603.0,0206490000,02
Chile,114823.0,0206900020,02
