Country,impVal,hs_code,hs2_code,detail_code
Canada,809426.0,101210010,1,112A00
Mexico,323115.0,101210010,1,112A00
Canada,2890222.0,101210020,1,112A00
Mexico,19000.0,101210020,1,112A00
Canada,44469127.0,101290090,1,112A00
Mexico,4677450.0,101290090,1,112A00
Canada,33419.0,101300000,1,112A00
Canada,147200.0,102210010,1,1121A0
Canada,17077091.0,102210020,1,1121A0
Canada,440846.0,102210030,1,1121A0
Canada,901459.0,102210050,1,1121A0
Canada,45000.0,102292011,1,1121A0
Canada,11879142.0,102292012,1,1121A0
Canada,14501593.0,102294024,1,1121A0
Mexico,38700.0,102294024,1,1121A0
Canada,15707176.0,102294028,1,1121A0
Canada,13256.0,102294034,1,1121A0
Mexico,208566067.0,102294034,1,1121A0
Canada,30161.0,102294038,1,1121A0
Mexico,38871951.0,102294038,1,1121A0
Canada,4114585.0,102294054,1,1121A0
Mexico,627094012.0,102294054,1,1121A0
Canada,10775916.0,102294058,1,1121A0
Mexico,404032171.0,102294058,1,1121A0
Canada,547369518.0,102294062,1,1121A0
Mexico,5748160.0,102294062,1,1121A0
Canada,71119519.0,102294064,1,1121A0
Mexico,551965.0,102294064,1,1121A0
Canada,156975699.0,102294066,1,1121A0
Mexico,311767.0,102294066,1,1121A0
Canada,573618634.0,102294068,1,1121A0
Mexico,3618269.0,102294068,1,1121A0
Canada,4840064.0,102294072,1,1121A0
Mexico,44820.0,102294072,1,1121A0
Canada,4610685.0,102294074,1,1121A0
Canada,37521891.0,102294082,1,1121A0
Mexico,9964909.0,102294082,1,1121A0
Canada,152246645.0,102294084,1,1121A0
Mexico,5034658.0,102294084,1,1121A0
Canada,70475953.0,102390010,1,112A00
Canada,43500.0,102390054,1,1121A0
Canada,36000.0,102390058,1,1121A0
Canada,65401.0,102900000,1,1121A0
Canada,9016.0,103100000,1,112A00
Canada,158340741.0,103910010,1,112A00
Canada,26435026.0,103910020,1,112A00
Canada,23517118.0,103910030,1,112A00
Canada,349156249.0,103920010,1,112A00
Canada,5850212.0,103920020,1,112A00
Canada,2770034.0,103920091,1,112A00
Canada,664997.0,104100000,1,112A00
Canada,902197.0,105110010,1,112300
Canada,10020293.0,105110040,1,112300
Canada,22797859.0,105120000,1,112300
Canada,1881871.0,105130000,1,112300
Canada,10335.0,105140000,1,112300
Canada,360802.0,105940000,1,112300
Canada,10611500.0,105990000,1,112300
Canada,40000.0,106130000,1,112A00
Canada,6325714.0,106140000,1,112A00
Canada,1530998.0,106199120,1,112A00
Mexico,188900.0,106199120,1,112A00
Canada,16317961.0,106199195,1,112A00
Mexico,30000.0,106199195,1,112A00
Canada,1123079.0,106200000,1,112A00
Mexico,41846.0,106200000,1,112A00
Canada,63312.0,106330000,1,112A00
Canada,180479.0,106390100,1,112A00
Canada,1428894.0,106410000,1,112A00
Canada,9357732.0,106490010,1,112A00
Canada,4561258.0,106490090,1,112A00
Mexico,27375.0,106490090,1,112A00
Canada,32877881.0,106900110,1,112A00
Canada,23920.0,106900120,1,112A00
Canada,1564670.0,106900180,1,112A00
Mexico,1994302.0,106900180,1,112A00
Mexico,272653.0,201101090,2,31161A
Canada,32402554.0,201105010,2,31161A
Canada,135375.0,201201000,2,31161A
Mexico,6666702.0,201201000,2,31161A
Mexico,32756224.0,201203000,2,31161A
Canada,7956204.0,201205015,2,31161A
Canada,236682387.0,201205025,2,31161A
Mexico,38844564.0,201205025,2,31161A
Canada,80939734.0,201205035,2,31161A
Mexico,136722534.0,201205035,2,31161A
Canada,41354216.0,201205045,2,31161A
Mexico,101635162.0,201205045,2,31161A
Canada,5331091.0,201205065,2,31161A
Canada,19700359.0,201205075,2,31161A
Mexico,7657.0,201205075,2,31161A
Canada,14113365.0,201205091,2,31161A
Mexico,274210509.0,201205091,2,31161A
Canada,3288455.0,201208010,2,31161A
Canada,80658.0,201208090,2,31161A
Mexico,12422372.0,201208090,2,31161A
Canada,1568515.0,201301000,2,31161A
Mexico,28797245.0,201301000,2,31161A
Canada,50353466.0,201303000,2,31161A
Mexico,59861630.0,201303000,2,31161A
Canada,6786857.0,201305015,2,31161A
Canada,269175648.0,201305025,2,31161A
Mexico,129305037.0,201305025,2,31161A
Canada,492994007.0,201305035,2,31161A
Mexico,53178135.0,201305035,2,31161A
Canada,520692969.0,201305045,2,31161A
Mexico,175216541.0,201305045,2,31161A
Canada,139160673.0,201305055,2,31161A
Mexico,62763899.0,201305055,2,31161A
Canada,145146653.0,201305065,2,31161A
Mexico,7649582.0,201305065,2,31161A
Canada,155342424.0,201305075,2,31161A
Mexico,59776602.0,201305075,2,31161A
Canada,213403925.0,201305085,2,31161A
Mexico,480295155.0,201305085,2,31161A
Canada,549665.0,201308010,2,31161A
Canada,49085309.0,201308090,2,31161A
Mexico,6404093.0,201308090,2,31161A
Mexico,259229.0,202201000,2,31161A
Canada,506868.0,202205025,2,31161A
Mexico,908235.0,202205025,2,31161A
Mexico,593972.0,202205035,2,31161A
Mexico,1020775.0,202205045,2,31161A
Canada,12432137.0,202205090,2,31161A
Mexico,11452917.0,202205090,2,31161A
Canada,21029.0,202208000,2,31161A
Mexico,2625408.0,202208000,2,31161A
Canada,283786.0,202300600,2,31161A
Canada,671355.0,202301000,2,31161A
Mexico,20584205.0,202301000,2,31161A
Canada,48323649.0,202303000,2,31161A
Mexico,44334147.0,202303000,2,31161A
Canada,2414784.0,202305015,2,31161A
Canada,2462288.0,202305025,2,31161A
Mexico,609678.0,202305025,2,31161A
