Country,sector_code,iso3,impVal
Afghanistan,11,AFG,3680593.0
Afghanistan,21,AFG,15399.0
Afghanistan,31ND,AFG,15431987.0
Afghanistan,33DG,AFG,1488507.0
Afghanistan,Other,AFG,1971873.0
Albania,11,ALB,19281125.0
Albania,21,ALB,36615.0
Albania,31ND,ALB,29320904.0
Albania,33DG,ALB,77770267.0
Albania,Other,ALB,1871498.0
Andorra,31ND,AND,147589.0
Andorra,33DG,AND,2784886.0
Andorra,Other,AND,436774.0
Anguilla,31ND,AIA,525421.0
Anguilla,33DG,AIA,204663.0
Anguilla,Other,AIA,460514.0
Antigua and Barbuda,21,ATG,54800.0
Antigua and Barbuda,31ND,ATG,1908863.0
Antigua and Barbuda,33DG,ATG,1832262.0
Antigua and Barbuda,Other,ATG,19955625.0
Argentina,11,ARG,885586566.0
Argentina,21,ARG,1416055954.0
Argentina,31ND,ARG,2768535060.0
Argentina,33DG,ARG,1731973699.0
Argentina,Other,ARG,290009890.0
Armenia,11,ARM,627522.0
Armenia,21,ARM,89580.0
Armenia,31ND,ARM,28818809.0
Armenia,33DG,ARM,89025294.0
Armenia,Other,ARM,3021911.0
Aruba,31ND,ABW,1151722.0
Aruba,33DG,ABW,631161.0
Aruba,Other,ABW,8921785.0
Australia,11,AUS,248343333.0
Australia,21,AUS,613702879.0
Australia,31ND,AUS,7254530146.0
Australia,33DG,AUS,7304724653.0
Australia,Other,AUS,1264208829.0
Austria,11,AUT,4653163.0
Austria,21,AUT,1658467.0
Austria,31ND,AUT,4809775941.0
Austria,33DG,AUT,12271007437.0
Austria,Other,AUT,484917821.0
Azerbaijan,11,AZE,101105.0
Azerbaijan,21,AZE,5015.0
Azerbaijan,31ND,AZE,6283324.0
Azerbaijan,33DG,AZE,102748393.0
Azerbaijan,Other,AZE,48638635.0
Bahamas,11,BHS,102933056.0
Bahamas,21,BHS,47304700.0
Bahamas,31ND,BHS,653413590.0
Bahamas,33DG,BHS,3554184.0
Bahamas,Other,BHS,985167489.0
Bahrain,11,BHR,3113627.0
Bahrain,31ND,BHR,295043778.0
Bahrain,33DG,BHR,858605992.0
Bahrain,Other,BHR,47577525.0
Bangladesh,11,BGD,32476663.0
Bangladesh,31ND,BGD,7993266018.0
Bangladesh,33DG,BGD,236236919.0
Bangladesh,Other,BGD,103786727.0
Barbados,11,BRB,944889.0
Barbados,31ND,BRB,27960883.0
Barbados,33DG,BRB,8779190.0
Barbados,Other,BRB,10879677.0
Belarus,11,BLR,195987.0
Belarus,31ND,BLR,13075443.0
Belarus,33DG,BLR,6264751.0
Belarus,Other,BLR,512792.0
Belgium,11,BEL,107838125.0
Belgium,21,BEL,5855761.0
Belgium,31ND,BEL,17522971368.0
Belgium,33DG,BEL,7247288812.0
Belgium,Other,BEL,2965896409.0
Belize,11,BLZ,17855624.0
Belize,31ND,BLZ,51238433.0
Belize,33DG,BLZ,4312931.0
Belize,Other,BLZ,7721510.0
Bermuda,11,BMU,18000.0
Bermuda,31ND,BMU,1223567.0
Bermuda,33DG,BMU,1739254.0
Bermuda,Other,BMU,20347447.0
Bhutan,31ND,BTN,63074.0
Bhutan,33DG,BTN,3049510.0
Bhutan,Other,BTN,168464.0
Bolivia,11,BOL,84331470.0
Bolivia,21,BOL,39436620.0
Bolivia,31ND,BOL,42621268.0
Bolivia,33DG,BOL,304871512.0
Bolivia,Other,BOL,32885825.0
Bosnia and Herzegovina,11,BIH,9468.0
Bosnia and Herzegovina,21,BIH,635645.0
Bosnia and Herzegovina,31ND,BIH,42756378.0
Bosnia and Herzegovina,33DG,BIH,131390061.0
Bosnia and Herzegovina,Other,BIH,4298032.0
Brazil,11,BRA,2718486432.0
Brazil,21,BRA,6954090457.0
Brazil,31ND,BRA,11750598136.0
Brazil,33DG,BRA,17860948169.0
Brazil,Other,BRA,3032200427.0
British Virgin Islands,31ND,VGB,133094.0
British Virgin Islands,33DG,VGB,2200849.0
British Virgin Islands,Other,VGB,57912864.0
Brunei,31ND,BRN,221170397.0
Brunei,33DG,BRN,7621290.0
Brunei,Other,BRN,10057619.0
Bulgaria,11,BGR,76054731.0
Bulgaria,21,BGR,629059.0
Bulgaria,31ND,BGR,421490383.0
Bulgaria,33DG,BGR,953273755.0
Bulgaria,Other,BGR,38686227.0
Burma,11,MMR,45093394.0
Burma,31ND,MMR,486174407.0
Burma,33DG,MMR,124146076.0
Burma,Other,MMR,1047068.0
Cambodia,11,KHM,6318188.0
Cambodia,21,KHM,67412.0
Cambodia,31ND,KHM,8010067800.0
Cambodia,33DG,KHM,4577876496.0
Cambodia,Other,KHM,67476919.0
Canada,11,CAN,12906925299.0
Canada,21,CAN,107820212541.0
Canada,31ND,CAN,100613193481.0
Canada,33DG,CAN,166437236199.0
Canada,Other,CAN,24918152357.0
Cayman Islands,11,CYM,121500.0
Cayman Islands,21,CYM,7888.0
Cayman Islands,31ND,CYM,428990.0
Cayman Islands,33DG,CYM,33058768.0
Cayman Islands,Other,CYM,15782404.0
Chile,11,CHL,4983074110.0
Chile,21,CHL,221742772.0
Chile,31ND,CHL,2665899941.0
Chile,33DG,CHL,8127130308.0
Chile,Other,CHL,471632825.0
China,11,CHN,2102101783.0
China,21,CHN,154988104.0
China,31ND,CHN,97696932975.0
China,33DG,CHN,327690260087.0
China,Other,CHN,11303103196.0
Christmas Island,11,CXR,19835.0
Christmas Island,31ND,CXR,17065.0
Christmas Island,33DG,CXR,1624158.0
Christmas Island,Other,CXR,86184.0
Cocos (Keeling) Islands,31ND,CCK,105697.0
Cocos (Keeling) Islands,33DG,CCK,565007.0
Cocos (Keeling) Islands,Other,CCK,429940.0
Colombia,11,COL,3406342211.0
Colombia,21,COL,5942576678.0
Colombia,31ND,COL,3631776773.0
Colombia,33DG,COL,3902966680.0
Colombia,Other,COL,806686621.0
Cook Islands,31ND,COK,25347.0
Cook Islands,33DG,COK,155227.0
Cook Islands,Other,COK,711545.0
Costa Rica,11,CRI,1683673454.0
Costa Rica,21,CRI,5736127.0
Costa Rica,31ND,CRI,935164816.0
Costa Rica,33DG,CRI,7937972783.0
Costa Rica,Other,CRI,1072358151.0
Croatia,11,HRV,4684279.0
Croatia,21,HRV,52490.0
Croatia,31ND,HRV,498004698.0
Croatia,33DG,HRV,484148621.0
Croatia,Other,HRV,13980749.0
Cuba,31ND,CUB,3423.0
Cuba,33DG,CUB,5672.0
Cuba,Other,CUB,4860777.0
Curacao,31ND,CUW,9907886.0
Curacao,33DG,CUW,7279657.0
Curacao,Other,CUW,14748402.0
Cyprus,11,CYP,1470507.0
Cyprus,21,CYP,2089482.0
Cyprus,31ND,CYP,18018638.0
Cyprus,33DG,CYP,29542745.0
Cyprus,Other,CYP,7738937.0
Czech Republic,11,CZE,8070382.0
Czech Republic,21,CZE,893960.0
Czech Republic,31ND,CZE,1248730186.0
Czech Republic,33DG,CZE,6391283429.0
Czech Republic,Other,CZE,432930382.0
Denmark,11,DNK,135616593.0
Denmark,21,DNK,3829567.0
Denmark,31ND,DNK,4548726026.0
Denmark,33DG,DNK,4922099009.0
Denmark,Other,DNK,430151029.0
Dominica,11,DMA,39980.0
Dominica,31ND,DMA,429869.0
Dominica,33DG,DMA,588653.0
Dominica,Other,DMA,1247693.0
Dominican Republic,11,DOM,376222978.0
Dominican Republic,21,DOM,8153188.0
Dominican Republic,31ND,DOM,2750189241.0
Dominican Republic,33DG,DOM,4022440039.0
Dominican Republic,Other,DOM,348425392.0
Ecuador,11,ECU,3137716073.0
Ecuador,21,ECU,3546786656.0
Ecuador,31ND,ECU,706968413.0
Ecuador,33DG,ECU,712658035.0
Ecuador,Other,ECU,420177086.0
El Salvador,11,SLV,86343566.0
El Salvador,31ND,SLV,1793482860.0
El Salvador,33DG,SLV,218962425.0
El Salvador,Other,SLV,212423940.0
Estonia,11,EST,7585931.0
Estonia,21,EST,7368885.0
Estonia,31ND,EST,113831447.0
Estonia,33DG,EST,909404775.0
Estonia,Other,EST,27212942.0
Falkland Islands (Islas Malvinas),11,FLK,19743512.0
Falkland Islands (Islas Malvinas),31ND,FLK,3262.0
Falkland Islands (Islas Malvinas),33DG,FLK,2469127.0
Falkland Islands (Islas Malvinas),Other,FLK,540760.0
Faroe Islands,11,FRO,246203765.0
Faroe Islands,31ND,FRO,2315295.0
Faroe Islands,33DG,FRO,445619.0
Faroe Islands,Other,FRO,487853.0
Fiji,11,FJI,22729429.0
Fiji,31ND,FJI,222565022.0
Fiji,33DG,FJI,8257378.0
Fiji,Other,FJI,5720644.0
Finland,11,FIN,2151503.0
Finland,21,FIN,2722585.0
Finland,31ND,FIN,4028247282.0
Finland,33DG,FIN,3856746404.0
Finland,Other,FIN,139648936.0
France,11,FRA,309136432.0
France,21,FRA,15964080.0
France,31ND,FRA,23062100441.0
France,33DG,FRA,29854614367.0
France,Other,FRA,6661452631.0
French Guiana,11,GUF,1535137.0
French Guiana,31ND,GUF,6198.0
French Guiana,33DG,GUF,245143.0
French Guiana,Other,GUF,34651.0
French Polynesia,11,PYF,18304657.0
French Polynesia,31ND,PYF,2465493.0
French Polynesia,33DG,PYF,8349083.0
French Polynesia,Other,PYF,11304037.0
Gaza Strip Administered by Israel,33DG,ISR,204636.0
Gaza Strip Administered by Israel,Other,ISR,234.0
Georgia,11,GEO,308753.0
Georgia,21,GEO,4412.0
Georgia,31ND,GEO,38373639.0
Georgia,33DG,GEO,119501423.0
Georgia,Other,GEO,7225944.0
Germany,11,DEU,451739551.0
Germany,21,DEU,16792821.0
Germany,31ND,DEU,35763150663.0
Germany,33DG,DEU,111764770246.0
Germany,Other,DEU,12440094647.0
Gibraltar,31ND,GIB,16889.0
Gibraltar,33DG,GIB,191618.0
Gibraltar,Other,GIB,222672.0
Greece,11,GRC,100591831.0
Greece,21,GRC,28874300.0
Greece,31ND,GRC,1112962350.0
Greece,33DG,GRC,865945348.0
Greece,Other,GRC,135236463.0
Greenland,11,GRL,31339026.0
Greenland,31ND,GRL,118871.0
Greenland,33DG,GRL,148566.0
Greenland,Other,GRL,979018.0
Grenada,11,GRD,7700236.0
Grenada,31ND,GRD,3097758.0
Grenada,33DG,GRD,158552.0
Grenada,Other,GRD,3118272.0
Guadeloupe,31ND,GLP,206389.0
Guadeloupe,33DG,GLP,1135309.0
Guadeloupe,Other,GLP,2085963.0
Guatemala,11,GTM,2227033787.0
Guatemala,21,GTM,74321513.0
Guatemala,31ND,GTM,2459989866.0
Guatemala,33DG,GTM,164691805.0
Guatemala,Other,GTM,93855441.0
Guyana,11,GUY,20508621.0
Guyana,21,GUY,5225654482.0
Guyana,31ND,GUY,27133875.0
Guyana,33DG,GUY,26240147.0
Guyana,Other,GUY,75951535.0
Haiti,11,HTI,2133636.0
Haiti,21,HTI,38456.0
Haiti,31ND,HTI,601283102.0
Haiti,33DG,HTI,7430639.0
Haiti,Other,HTI,5884952.0
Heard and McDonald Islands,33DG,HMD,11149.0
Heard and McDonald Islands,Other,HMD,2440.0
Honduras,11,HND,959006157.0
Honduras,21,HND,25736155.0
Honduras,31ND,HND,2937900025.0
Honduras,33DG,HND,1462026502.0
Honduras,Other,HND,147892882.0
Hong Kong,11,HKG,22780777.0
Hong Kong,21,HKG,209567.0
Hong Kong,31ND,HKG,308490876.0
Hong Kong,33DG,HKG,2914400878.0
Hong Kong,Other,HKG,2727018356.0
Hungary,11,HUN,12277633.0
Hungary,21,HUN,396562.0
Hungary,31ND,HUN,4970765163.0
Hungary,33DG,HUN,7308660200.0
Hungary,Other,HUN,411831897.0
Iceland,11,ISL,350260021.0
Iceland,21,ISL,2872967.0
Iceland,31ND,ISL,363030727.0
Iceland,33DG,ISL,336862054.0
Iceland,Other,ISL,19601068.0
India,11,IND,3306016827.0
India,21,IND,80572219.0
India,31ND,IND,37756860340.0
India,33DG,IND,44793911094.0
India,Other,IND,1479088098.0
Indonesia,11,IDN,2393544197.0
Indonesia,21,IDN,1253722.0
Indonesia,31ND,IDN,14752234129.0
Indonesia,33DG,IDN,10678050879.0
Indonesia,Other,IDN,259654957.0
Iran,11,IRN,26356.0
Iran,31ND,IRN,1498615.0
Iran,Other,IRN,4693520.0
Iraq,11,IRQ,10925.0
Iraq,21,IRQ,5650768158.0
Iraq,31ND,IRQ,1740989904.0
