Country,summary_code,iso3,impVal
Afghanistan,111CA,AFG,3597103.0
Afghanistan,113FF,AFG,83490.0
Afghanistan,212,AFG,15399.0
Afghanistan,311FT,AFG,11165229.0
Afghanistan,313TT,AFG,4089098.0
Afghanistan,315AL,AFG,102387.0
Afghanistan,322,AFG,18531.0
Afghanistan,323,AFG,16000.0
Afghanistan,325,AFG,30017.0
Afghanistan,326,AFG,10725.0
Afghanistan,327,AFG,6750.0
Afghanistan,331,AFG,23075.0
Afghanistan,332,AFG,83154.0
Afghanistan,333,AFG,31588.0
Afghanistan,334,AFG,74226.0
Afghanistan,335,AFG,48834.0
Afghanistan,3361MV,AFG,13504.0
Afghanistan,337,AFG,94883.0
Afghanistan,339,AFG,1112493.0
Afghanistan,Other,AFG,1971873.0
Albania,111CA,ALB,17960340.0
Albania,113FF,ALB,1320785.0
Albania,212,ALB,36615.0
Albania,311FT,ALB,6862452.0
Albania,313TT,ALB,130579.0
Albania,315AL,ALB,13873209.0
Albania,321,ALB,154854.0
Albania,322,ALB,2713926.0
Albania,323,ALB,35015.0
Albania,325,ALB,4713651.0
Albania,326,ALB,992072.0
Albania,327,ALB,109794.0
Albania,331,ALB,64834468.0
Albania,332,ALB,6367644.0
Albania,333,ALB,248539.0
Albania,334,ALB,209693.0
Albania,335,ALB,1352420.0
Albania,3361MV,ALB,1055527.0
Albania,3364OT,ALB,483718.0
Albania,337,ALB,2686013.0
Albania,339,ALB,267597.0
Albania,Other,ALB,1871498.0
Andorra,311FT,AND,2912.0
Andorra,313TT,AND,511.0
Andorra,323,AND,123903.0
Andorra,325,AND,584.0
Andorra,326,AND,19679.0
Andorra,331,AND,11165.0
Andorra,332,AND,197531.0
Andorra,333,AND,28226.0
Andorra,334,AND,1548232.0
Andorra,335,AND,27334.0
Andorra,3364OT,AND,24995.0
Andorra,337,AND,30176.0
Andorra,339,AND,917227.0
Andorra,Other,AND,436774.0
Anguilla,311FT,AIA,235930.0
Anguilla,313TT,AIA,2056.0
Anguilla,315AL,AIA,165172.0
Anguilla,325,AIA,53405.0
Anguilla,326,AIA,68858.0
Anguilla,327,AIA,55328.0
Anguilla,333,AIA,3666.0
Anguilla,335,AIA,24329.0
Anguilla,3364OT,AIA,108000.0
Anguilla,337,AIA,13340.0
Anguilla,Other,AIA,460514.0
Antigua and Barbuda,212,ATG,54800.0
Antigua and Barbuda,311FT,ATG,234213.0
Antigua and Barbuda,313TT,ATG,65143.0
Antigua and Barbuda,315AL,ATG,7300.0
Antigua and Barbuda,323,ATG,205042.0
Antigua and Barbuda,324,ATG,1393295.0
Antigua and Barbuda,325,ATG,3581.0
Antigua and Barbuda,326,ATG,289.0
Antigua and Barbuda,327,ATG,13457.0
Antigua and Barbuda,331,ATG,1395289.0
Antigua and Barbuda,332,ATG,5243.0
Antigua and Barbuda,333,ATG,65507.0
Antigua and Barbuda,334,ATG,247705.0
Antigua and Barbuda,335,ATG,14871.0
Antigua and Barbuda,3361MV,ATG,9049.0
Antigua and Barbuda,339,ATG,81141.0
