Country,usummary_code,iso3,impVal
Afghanistan,111,AFG,3594853.0
Afghanistan,112,AFG,2250.0
Afghanistan,113FF,AFG,83490.0
Afghanistan,212,AFG,15399.0
Afghanistan,311,AFG,9997422.0
Afghanistan,3121,AFG,779974.0
Afghanistan,3122,AFG,387833.0
Afghanistan,313TT,AFG,4089098.0
Afghanistan,315AL,AFG,102387.0
Afghanistan,322,AFG,18531.0
Afghanistan,323,AFG,16000.0
Afghanistan,3251,AFG,2402.0
Afghanistan,3254,AFG,6000.0
Afghanistan,325X,AFG,21615.0
Afghanistan,326,AFG,10725.0
Afghanistan,327,AFG,6750.0
Afghanistan,3313NF,AFG,23075.0
Afghanistan,332,AFG,83154.0
Afghanistan,33311,AFG,4822.0
Afghanistan,33312,AFG,3732.0
Afghanistan,3332OM,AFG,23034.0
Afghanistan,3341,AFG,6919.0
Afghanistan,3342,AFG,19714.0
Afghanistan,3344,AFG,20000.0
Afghanistan,3345,AFG,27593.0
Afghanistan,335,AFG,48834.0
Afghanistan,3362BP,AFG,13504.0
Afghanistan,337,AFG,94883.0
Afghanistan,3399,AFG,1112493.0
Afghanistan,S003,AFG,1971873.0
Albania,111,ALB,17935550.0
Albania,112,ALB,24790.0
Albania,113FF,ALB,1320785.0
Albania,212,ALB,36615.0
Albania,311,ALB,6121004.0
Albania,3121,ALB,741448.0
Albania,313TT,ALB,130579.0
Albania,315AL,ALB,13873209.0
Albania,321,ALB,154854.0
Albania,322,ALB,2713926.0
Albania,323,ALB,35015.0
Albania,3254,ALB,267288.0
Albania,325X,ALB,4446363.0
Albania,326,ALB,992072.0
Albania,327,ALB,109794.0
Albania,3311IS,ALB,64719108.0
Albania,3313NF,ALB,115360.0
Albania,332,ALB,6367644.0
Albania,33311,ALB,41504.0
Albania,33312,ALB,50139.0
Albania,33313,ALB,20410.0
Albania,3332OM,ALB,136486.0
Albania,3341,ALB,3936.0
Albania,3342,ALB,85947.0
Albania,3344,ALB,89391.0
Albania,3345,ALB,30419.0
Albania,335,ALB,1352420.0
Albania,3362BP,ALB,1055527.0
Albania,3365AO,ALB,483718.0
Albania,337,ALB,2686013.0
Albania,3391,ALB,28287.0
Albania,3399,ALB,239310.0
Albania,S003,ALB,1871498.0
Algeria,111,DZA,14480827.0
Algeria,211,DZA,334188539.0
Algeria,311,DZA,530967.0
Algeria,3121,DZA,125042.0
Algeria,313TT,DZA,418.0
Algeria,315AL,DZA,13743.0
Algeria,322,DZA,10285.0
Algeria,323,DZA,9839.0
Algeria,324,DZA,1679957473.0
Algeria,3251,DZA,21629423.0
Algeria,325X,DZA,213153171.0
Algeria,326,DZA,1995239.0
Algeria,327,DZA,85365292.0
Algeria,3311IS,DZA,76758622.0
Algeria,332,DZA,33039.0
Algeria,3332OM,DZA,212039.0
Algeria,3344,DZA,435178.0
Algeria,3345,DZA,97592.0
Algeria,334X,DZA,11428.0
Algeria,335,DZA,85196.0
Algeria,3362BP,DZA,2194.0
Algeria,3364,DZA,81329.0
Algeria,3399,DZA,803.0
Algeria,S003,DZA,32433464.0
Andorra,311,AND,2912.0
Andorra,313TT,AND,511.0
Andorra,323,AND,123903.0
Andorra,3252,AND,584.0
Andorra,326,AND,19679.0
Andorra,3313NF,AND,11165.0
Andorra,332,AND,197531.0
Andorra,33311,AND,3723.0
Andorra,3332OM,AND,24503.0
Andorra,3342,AND,16798.0
Andorra,3344,AND,1480605.0
Andorra,3345,AND,50829.0
Andorra,335,AND,27334.0
Andorra,3364,AND,8506.0
Andorra,3365AO,AND,16489.0
Andorra,337,AND,30176.0
Andorra,3391,AND,138761.0
Andorra,3399,AND,778466.0
Andorra,S003,AND,436774.0
Angola,111,AGO,69550.0
Angola,113FF,AGO,55849.0
Angola,211,AGO,1689780168.0
Angola,311,AGO,4500.0
Angola,315AL,AGO,900.0
Angola,321,AGO,203279.0
Angola,323,AGO,3619.0
Angola,324,AGO,59121164.0
Angola,327,AGO,38522.0
Angola,3311IS,AGO,15015253.0
Angola,3313NF,AGO,4151880.0
Angola,332,AGO,32576.0
Angola,33312,AGO,34130.0
Angola,3362BP,AGO,48419.0
Angola,3399,AGO,100679357.0
Anguilla,3121,AIA,235930.0
Anguilla,313TT,AIA,2056.0
Anguilla,315AL,AIA,165172.0
Anguilla,325X,AIA,53405.0
Anguilla,326,AIA,68858.0
Anguilla,327,AIA,55328.0
Anguilla,3332OM,AIA,3666.0
Anguilla,335,AIA,24329.0
Anguilla,3364,AIA,108000.0
Anguilla,337,AIA,13340.0
Anguilla,S003,AIA,460514.0
Antigua and Barbuda,212,ATG,54800.0
Antigua and Barbuda,311,ATG,65600.0
Antigua and Barbuda,3121,ATG,168613.0
Antigua and Barbuda,313TT,ATG,65143.0
Antigua and Barbuda,315AL,ATG,7300.0
Antigua and Barbuda,323,ATG,205042.0
Antigua and Barbuda,324,ATG,1393295.0
Antigua and Barbuda,3251,ATG,3581.0
Antigua and Barbuda,326,ATG,289.0
Antigua and Barbuda,327,ATG,13457.0
Antigua and Barbuda,3313NF,ATG,1395289.0
Antigua and Barbuda,332,ATG,5243.0
Antigua and Barbuda,3332OM,ATG,65507.0
Antigua and Barbuda,3341,ATG,5690.0
Antigua and Barbuda,3342,ATG,12000.0
Antigua and Barbuda,3345,ATG,230015.0
Antigua and Barbuda,335,ATG,14871.0
Antigua and Barbuda,3362BP,ATG,9049.0
Antigua and Barbuda,3399,ATG,81141.0
Antigua and Barbuda,S003,ATG,19955625.0
Argentina,111,ARG,367535284.0
Argentina,112,ARG,159877283.0
Argentina,113FF,ARG,358173999.0
Argentina,211,ARG,1411244779.0
Argentina,212,ARG,4811175.0
Argentina,311,ARG,1185561399.0
Argentina,3121,ARG,209591209.0
Argentina,313TT,ARG,1457412.0
Argentina,315AL,ARG,13578186.0
Argentina,321,ARG,101694220.0
Argentina,322,ARG,17636146.0
Argentina,323,ARG,623271.0
Argentina,324,ARG,333445206.0
Argentina,3251,ARG,154383222.0
Argentina,3252,ARG,22419230.0
Argentina,3254,ARG,684049439.0
Argentina,325X,ARG,122367530.0
Argentina,326,ARG,23422810.0
Argentina,327,ARG,2506347.0
Argentina,3311IS,ARG,118960812.0
Argentina,3313NF,ARG,1304460522.0
Argentina,332,ARG,43222037.0
Argentina,33311,ARG,6646334.0
Argentina,33312,ARG,4133253.0
Argentina,33313,ARG,245503.0
Argentina,3332OM,ARG,78061916.0
Argentina,3341,ARG,456509.0
Argentina,3342,ARG,497459.0
Argentina,3344,ARG,3738536.0
Argentina,3345,ARG,5602051.0
Argentina,334X,ARG,474183.0
Argentina,335,ARG,11443862.0
Argentina,336111,ARG,59546.0
Argentina,336112,ARG,260600.0
Argentina,33612,ARG,13000.0
Argentina,3362BP,ARG,30617391.0
Argentina,3364,ARG,8665220.0
Argentina,3365AO,ARG,1157082.0
Argentina,337,ARG,4237058.0
Argentina,3391,ARG,2254370.0
Argentina,3399,ARG,2565888.0
Argentina,S003,ARG,290009890.0
Armenia,111,ARM,215094.0
Armenia,112,ARM,311624.0
Armenia,113FF,ARM,100804.0
Armenia,212,ARM,89580.0
Armenia,311,ARM,8320360.0
Armenia,3121,ARM,10614933.0
Armenia,313TT,ARM,230105.0
Armenia,315AL,ARM,8267713.0
Armenia,321,ARM,387341.0
Armenia,322,ARM,95825.0
Armenia,323,ARM,18231.0
Armenia,3251,ARM,635914.0
Armenia,3254,ARM,4500.0
Armenia,325X,ARM,362193.0
Armenia,326,ARM,269035.0
Armenia,327,ARM,80424.0
Armenia,3313NF,ARM,2160611.0
Armenia,332,ARM,205431.0
Armenia,33311,ARM,20955.0
Armenia,3332OM,ARM,350030.0
Armenia,3341,ARM,30613.0
Armenia,3342,ARM,24639.0
Armenia,3344,ARM,344206.0
Armenia,3345,ARM,211802.0
Armenia,334X,ARM,6559.0
Armenia,335,ARM,232307.0
Armenia,3362BP,ARM,14029.0
Armenia,337,ARM,124863.0
Armenia,3391,ARM,1674062.0
Armenia,3399,ARM,83157422.0
Armenia,S003,ARM,3021911.0
Aruba,313TT,ABW,300.0
Aruba,315AL,ABW,6886.0
Aruba,321,ABW,4000.0
Aruba,323,ABW,18088.0
Aruba,325X,ABW,1121496.0
Aruba,326,ABW,4952.0
Aruba,327,ABW,47460.0
Aruba,332,ABW,21183.0
Aruba,3332OM,ABW,22363.0
Aruba,3341,ABW,47171.0
Aruba,3342,ABW,15739.0
Aruba,3345,ABW,260437.0
Aruba,335,ABW,6016.0
Aruba,3362BP,ABW,62618.0
Aruba,3365AO,ABW,4300.0
Aruba,337,ABW,2775.0
Aruba,3399,ABW,137099.0
Aruba,S003,ABW,8921785.0
Australia,111,AUS,94933219.0
Australia,112,AUS,41165316.0
Australia,113FF,AUS,112244798.0
Australia,212,AUS,613702879.0
Australia,311,AUS,5010273092.0
Australia,3121,AUS,274902570.0
Australia,313TT,AUS,30223248.0
Australia,315AL,AUS,27296633.0
Australia,321,AUS,9244694.0
Australia,322,AUS,72425989.0
Australia,323,AUS,11762459.0
Australia,324,AUS,13414822.0
Australia,3251,AUS,100025986.0
Australia,3252,AUS,17706848.0
Australia,3254,AUS,1425637919.0
Australia,325X,AUS,178360753.0
Australia,326,AUS,92499827.0
Australia,327,AUS,45317873.0
Australia,3311IS,AUS,377301601.0
Australia,3313NF,AUS,3037514199.0
Australia,332,AUS,203732541.0
Australia,33311,AUS,21998332.0
Australia,33312,AUS,53025609.0
Australia,33313,AUS,16947388.0
Australia,3332OM,AUS,473865355.0
Australia,3341,AUS,15839235.0
Australia,3342,AUS,112425451.0
Australia,3344,AUS,35312987.0
Australia,3345,AUS,499546821.0
Australia,334X,AUS,67288035.0
Australia,335,AUS,202699067.0
Australia,336111,AUS,598318.0
Australia,336112,AUS,163500.0
Australia,33612,AUS,2419752.0
