Country,iso3,HS2,detail_code,impVal,bea_total,weight
Afghanistan,AFG,12,1111A0,19862.0,19862.0,1.0
Afghanistan,AFG,7,1111B0,102319.0,102319.0,1.0
Afghanistan,AFG,7,111200,23322.0,23322.0,1.0
Afghanistan,AFG,12,111300,146768.0,3425823.0,0.04284167629209098
Afghanistan,AFG,8,111300,3279055.0,3425823.0,0.957158323707909
Afghanistan,AFG,12,111400,12750.0,18177.0,0.7014358805083347
Afghanistan,AFG,6,111400,5427.0,18177.0,0.2985641194916653
Afghanistan,AFG,12,111900,5350.0,5350.0,1.0
Afghanistan,AFG,4,112A00,2250.0,2250.0,1.0
Afghanistan,AFG,13,113000,54963.0,54963.0,1.0
Afghanistan,AFG,8,115000,28527.0,28527.0,1.0
Afghanistan,AFG,25,2123A0,15399.0,15399.0,1.0
Afghanistan,AFG,10,311210,2272.0,6877.0,0.3303766177112113
Afghanistan,AFG,11,311210,4605.0,6877.0,0.6696233822887887
Afghanistan,AFG,15,311224,87419.0,87419.0,1.0
Afghanistan,AFG,17,311300,325561.0,342098.0,0.9516600506287672
Afghanistan,AFG,20,311300,16537.0,342098.0,0.0483399493712328
Afghanistan,AFG,20,311410,55866.0,86477.0,0.6460214854816888
Afghanistan,AFG,8,311410,30611.0,86477.0,0.35397851451831125
Afghanistan,AFG,20,311420,774638.0,6231648.0,0.12430708538094577
Afghanistan,AFG,21,311420,11630.0,6231648.0,0.001866279995275728
Afghanistan,AFG,7,311420,67227.0,6231648.0,0.010787997011384469
Afghanistan,AFG,8,311420,5378153.0,6231648.0,0.8630386376123941
Afghanistan,AFG,19,311514,2364.0,33892.0,0.06975097368110468
Afghanistan,AFG,4,311514,31528.0,33892.0,0.9302490263188953
Afghanistan,AFG,4,31151A,3000.0,3000.0,1.0
Afghanistan,AFG,19,311810,45157.0,45157.0,1.0
Afghanistan,AFG,19,311910,3531.0,1101872.0,0.0032045464445961055
Afghanistan,AFG,20,311910,1098341.0,1101872.0,0.9967954535554039
Afghanistan,AFG,9,311920,5400.0,5400.0,1.0
Afghanistan,AFG,21,311940,88090.0,1913032.0,0.04604732173847589
Afghanistan,AFG,9,311940,1824942.0,1913032.0,0.9539526782615241
Afghanistan,AFG,10,311990,2197.0,140550.0,0.015631447883315545
Afghanistan,AFG,19,311990,30649.0,140550.0,0.21806474564212025
Afghanistan,AFG,21,311990,107704.0,140550.0,0.7663038064745642
Afghanistan,AFG,22,312110,779974.0,779974.0,1.0
Afghanistan,AFG,24,312200,387833.0,387833.0,1.0
Afghanistan,AFG,51,313200,1298.0,17306.0,0.07500288917138564
Afghanistan,AFG,58,313200,16008.0,17306.0,0.9249971108286144
Afghanistan,AFG,57,314110,4047603.0,4047603.0,1.0
Afghanistan,AFG,39,314120,581.0,24189.0,0.024019182272933978
Afghanistan,AFG,63,314120,23063.0,24189.0,0.9534499152507339
Afghanistan,AFG,94,314120,545.0,24189.0,0.02253090247633222
Afghanistan,AFG,40,315000,454.0,92840.0,0.004890133563119345
Afghanistan,AFG,43,315000,26888.0,92840.0,0.2896165445928479
Afghanistan,AFG,61,315000,17331.0,92840.0,0.1866760017233951
Afghanistan,AFG,62,315000,48167.0,92840.0,0.5188173201206376
Afghanistan,AFG,42,316000,2039.0,9547.0,0.2135749450089033
Afghanistan,AFG,64,316000,7508.0,9547.0,0.7864250549910967
Afghanistan,AFG,39,322220,979.0,979.0,1.0
Afghanistan,AFG,48,322299,17552.0,17552.0,1.0
Afghanistan,AFG,48,323110,16000.0,16000.0,1.0
