Country,iso3,HS_Section,detail_code,impVal,bea_total,weight
Afghanistan,AFG,2,1111A0,19862.0,19862.0,1.0
Afghanistan,AFG,2,1111B0,102319.0,102319.0,1.0
Afghanistan,AFG,2,111200,23322.0,23322.0,1.0
Afghanistan,AFG,2,111300,3425823.0,3425823.0,1.0
Afghanistan,AFG,2,111400,18177.0,18177.0,1.0
Afghanistan,AFG,2,111900,5350.0,5350.0,1.0
Afghanistan,AFG,1,112A00,2250.0,2250.0,1.0
Afghanistan,AFG,2,113000,54963.0,54963.0,1.0
Afghanistan,AFG,2,115000,28527.0,28527.0,1.0
Afghanistan,AFG,5,2123A0,15399.0,15399.0,1.0
Afghanistan,AFG,2,311210,6877.0,6877.0,1.0
Afghanistan,AFG,3,311224,87419.0,87419.0,1.0
Afghanistan,AFG,4,311300,342098.0,342098.0,1.0
Afghanistan,AFG,2,311410,30611.0,86477.0,0.35397851451831125
Afghanistan,AFG,4,311410,55866.0,86477.0,0.6460214854816888
Afghanistan,AFG,2,311420,5445380.0,6231648.0,0.8738266346237785
Afghanistan,AFG,4,311420,786268.0,6231648.0,0.1261733653762215
Afghanistan,AFG,1,311514,31528.0,33892.0,0.9302490263188953
Afghanistan,AFG,4,311514,2364.0,33892.0,0.06975097368110468
Afghanistan,AFG,1,31151A,3000.0,3000.0,1.0
Afghanistan,AFG,4,311810,45157.0,45157.0,1.0
Afghanistan,AFG,4,311910,1101872.0,1101872.0,1.0
Afghanistan,AFG,2,311920,5400.0,5400.0,1.0
Afghanistan,AFG,2,311940,1824942.0,1913032.0,0.9539526782615241
Afghanistan,AFG,4,311940,88090.0,1913032.0,0.04604732173847589
Afghanistan,AFG,2,311990,2197.0,140550.0,0.015631447883315545
Afghanistan,AFG,4,311990,138353.0,140550.0,0.9843685521166845
Afghanistan,AFG,4,312110,779974.0,779974.0,1.0
Afghanistan,AFG,4,312200,387833.0,387833.0,1.0
Afghanistan,AFG,11,313200,17306.0,17306.0,1.0
Afghanistan,AFG,11,314110,4047603.0,4047603.0,1.0
Afghanistan,AFG,7,314120,581.0,24189.0,0.024019182272933978
Afghanistan,AFG,11,314120,23063.0,24189.0,0.9534499152507339
Afghanistan,AFG,20,314120,545.0,24189.0,0.02253090247633222
Afghanistan,AFG,7,315000,454.0,92840.0,0.004890133563119345
Afghanistan,AFG,8,315000,26888.0,92840.0,0.2896165445928479
Afghanistan,AFG,11,315000,65498.0,92840.0,0.7054933218440328
Afghanistan,AFG,8,316000,2039.0,9547.0,0.2135749450089033
Afghanistan,AFG,12,316000,7508.0,9547.0,0.7864250549910967
Afghanistan,AFG,7,322220,979.0,979.0,1.0
Afghanistan,AFG,10,322299,17552.0,17552.0,1.0
Afghanistan,AFG,10,323110,16000.0,16000.0,1.0
Afghanistan,AFG,6,325180,2402.0,2402.0,1.0
Afghanistan,AFG,4,325411,6000.0,6000.0,1.0
Afghanistan,AFG,6,3259A0,21615.0,21615.0,1.0
Afghanistan,AFG,7,326110,5130.0,5130.0,1.0
Afghanistan,AFG,7,326190,5595.0,5595.0,1.0
Afghanistan,AFG,13,327200,2750.0,2750.0,1.0
Afghanistan,AFG,13,327999,4000.0,4000.0,1.0
Afghanistan,AFG,15,331510,23075.0,23075.0,1.0
Afghanistan,AFG,15,332200,19205.0,23799.0,0.8069666792722383
Afghanistan,AFG,16,332200,4594.0,23799.0,0.19303332072776166
Afghanistan,AFG,15,332500,16673.0,16673.0,1.0
Afghanistan,AFG,15,332720,3294.0,3294.0,1.0
Afghanistan,AFG,15,332999,39388.0,39388.0,1.0
Afghanistan,AFG,16,333111,4822.0,4822.0,1.0
Afghanistan,AFG,16,333120,3732.0,3732.0,1.0
Afghanistan,AFG,16,333413,2850.0,2850.0,1.0
Afghanistan,AFG,16,333618,3728.0,3728.0,1.0
Afghanistan,AFG,16,333914,7213.0,7213.0,1.0
Afghanistan,AFG,16,333993,6113.0,6113.0,1.0
Afghanistan,AFG,16,33399A,3130.0,3130.0,1.0
Afghanistan,AFG,16,334118,6919.0,6919.0,1.0
Afghanistan,AFG,16,334220,19714.0,19714.0,1.0
Afghanistan,AFG,16,33441A,20000.0,20000.0,1.0
Afghanistan,AFG,16,334511,13500.0,13500.0,1.0
Afghanistan,AFG,18,334513,5459.0,5459.0,1.0
Afghanistan,AFG,18,334516,8634.0,8634.0,1.0
Afghanistan,AFG,20,335120,351.0,351.0,1.0
Afghanistan,AFG,16,335312,6081.0,6081.0,1.0
Afghanistan,AFG,16,335313,8137.0,8137.0,1.0
Afghanistan,AFG,16,335920,30156.0,30156.0,1.0
Afghanistan,AFG,16,335930,4109.0,4109.0,1.0
Afghanistan,AFG,16,336320,4480.0,4480.0,1.0
Afghanistan,AFG,16,336390,9024.0,9024.0,1.0
Afghanistan,AFG,20,337121,81012.0,81012.0,1.0
Afghanistan,AFG,15,337127,12076.0,12076.0,1.0
Afghanistan,AFG,20,337900,1795.0,1795.0,1.0
Afghanistan,AFG,14,339910,1059772.0,1059772.0,1.0
Afghanistan,AFG,20,339920,7622.0,7622.0,1.0
Afghanistan,AFG,16,339990,45099.0,45099.0,1.0
Afghanistan,AFG,11,S00300,6369.0,1971873.0,0.0032299240366899895
Afghanistan,AFG,21,S00300,1965504.0,1971873.0,0.99677007596331
Albania,ALB,2,1111B0,86826.0,86826.0,1.0
Albania,ALB,2,111300,3698590.0,3698590.0,1.0
Albania,ALB,2,111900,13057162.0,14150134.0,0.9227588940147139
Albania,ALB,4,111900,1092972.0,14150134.0,0.07724110598528608
Albania,ALB,1,112A00,24790.0,24790.0,1.0
Albania,ALB,2,113000,36420.0,36420.0,1.0
Albania,ALB,1,114000,1282133.0,1282133.0,1.0
Albania,ALB,2,115000,2232.0,2232.0,1.0
Albania,ALB,5,2122A0,32148.0,32148.0,1.0
Albania,ALB,5,212310,2112.0,2112.0,1.0
Albania,ALB,5,2123A0,2355.0,2355.0,1.0
Albania,ALB,2,311210,244578.0,244578.0,1.0
Albania,ALB,3,311224,1243575.0,1243575.0,1.0
Albania,ALB,4,311300,66943.0,66943.0,1.0
Albania,ALB,4,311410,17981.0,17981.0,1.0
Albania,ALB,2,311420,866765.0,1544146.0,0.5613232168460754
Albania,ALB,4,311420,677381.0,1544146.0,0.43867678315392455
Albania,ALB,1,311513,1174172.0,1174172.0,1.0
Albania,ALB,1,31151A,8749.0,21173.0,0.4132149435601946
Albania,ALB,4,31151A,12424.0,21173.0,0.5867850564398054
Albania,ALB,4,311810,179230.0,179230.0,1.0
Albania,ALB,4,3118A0,15489.0,15489.0,1.0
Albania,ALB,4,311910,27667.0,27667.0,1.0
Albania,ALB,2,311920,1168204.0,1219573.0,0.9578795201271265
Albania,ALB,4,311920,51369.0,1219573.0,0.04212047987287354
Albania,ALB,2,311940,301623.0,304627.0,0.9901387598604194
Albania,ALB,4,311940,3004.0,304627.0,0.009861240139580537
