Country,iso3,HS_Section,sector_code,impVal,bea_total,weight
Afghanistan,AFG,1,11,2250.0,3680593.0,0.0006113145354566507
Afghanistan,AFG,2,11,3678343.0,3680593.0,0.9993886854645434
Afghanistan,AFG,5,21,15399.0,15399.0,1.0
Afghanistan,AFG,1,31ND,34528.0,15431987.0,0.002237430604367409
Afghanistan,AFG,2,31ND,7315407.0,15431987.0,0.47404180680038155
Afghanistan,AFG,3,31ND,87419.0,15431987.0,0.005664792226691222
Afghanistan,AFG,4,31ND,3733875.0,15431987.0,0.24195685234830744
Afghanistan,AFG,6,31ND,24017.0,15431987.0,0.00155631287144034
Afghanistan,AFG,7,31ND,12739.0,15431987.0,0.0008254931785517963
Afghanistan,AFG,8,31ND,28927.0,15431987.0,0.001874483175756952
Afghanistan,AFG,10,31ND,33552.0,15431987.0,0.0021741853463199522
Afghanistan,AFG,11,31ND,4153470.0,15431987.0,0.26914680526882245
Afghanistan,AFG,12,31ND,7508.0,15431987.0,0.00048652192358637937
Afghanistan,AFG,20,31ND,545.0,15431987.0,3.531625577445082e-05
Afghanistan,AFG,13,33DG,6750.0,1488507.0,0.004534745217859237
Afghanistan,AFG,14,33DG,1059772.0,1488507.0,0.71196977911424
Afghanistan,AFG,15,33DG,113711.0,1488507.0,0.07639265384710989
Afghanistan,AFG,16,33DG,203401.0,1488507.0,0.13664766104559803
Afghanistan,AFG,18,33DG,14093.0,1488507.0,0.009467876200783739
Afghanistan,AFG,20,33DG,90780.0,1488507.0,0.06098728457440912
Afghanistan,AFG,11,Other,6369.0,1971873.0,0.0032299240366899895
Afghanistan,AFG,21,Other,1965504.0,1971873.0,0.99677007596331
Albania,ALB,1,11,1306923.0,19281125.0,0.06778250750410052
Albania,ALB,2,11,16881230.0,19281125.0,0.8755313810786456
Albania,ALB,4,11,1092972.0,19281125.0,0.05668611141725392
Albania,ALB,5,21,36615.0,36615.0,1.0
Albania,ALB,1,31ND,1182921.0,29320904.0,0.04034394710340445
Albania,ALB,2,31ND,2848458.0,29320904.0,0.09714768685167414
Albania,ALB,3,31ND,1243575.0,29320904.0,0.04241257363688378
