Country,iso3,HS_Section,summary_code,impVal,bea_total,weight
Afghanistan,AFG,1,111CA,2250.0,3597103.0,0.0006255033564510108
Afghanistan,AFG,2,111CA,3594853.0,3597103.0,0.9993744966435489
Afghanistan,AFG,2,113FF,83490.0,83490.0,1.0
Afghanistan,AFG,5,212,15399.0,15399.0,1.0
Afghanistan,AFG,1,311FT,34528.0,11165229.0,0.0030924578439009177
Afghanistan,AFG,2,311FT,7315407.0,11165229.0,0.6551954285935381
Afghanistan,AFG,3,311FT,87419.0,11165229.0,0.007829575192770341
Afghanistan,AFG,4,311FT,3727875.0,11165229.0,0.3338825383697907
Afghanistan,AFG,7,313TT,581.0,4089098.0,0.00014208512488573274
Afghanistan,AFG,11,313TT,4087972.0,4089098.0,0.9997246336478118
Afghanistan,AFG,20,313TT,545.0,4089098.0,0.00013328122730245153
Afghanistan,AFG,7,315AL,454.0,102387.0,0.004434156680047272
Afghanistan,AFG,8,315AL,28927.0,102387.0,0.28252610194653616
Afghanistan,AFG,11,315AL,65498.0,102387.0,0.6397101194487581
Afghanistan,AFG,12,315AL,7508.0,102387.0,0.0733296219246584
Afghanistan,AFG,7,322,979.0,18531.0,0.0528303923155793
Afghanistan,AFG,10,322,17552.0,18531.0,0.9471696076844207
Afghanistan,AFG,10,323,16000.0,16000.0,1.0
Afghanistan,AFG,4,325,6000.0,30017.0,0.1998867308525169
Afghanistan,AFG,6,325,24017.0,30017.0,0.800113269147483
Afghanistan,AFG,7,326,10725.0,10725.0,1.0
Afghanistan,AFG,13,327,6750.0,6750.0,1.0
Afghanistan,AFG,15,331,23075.0,23075.0,1.0
Afghanistan,AFG,15,332,78560.0,83154.0,0.9447531086899007
Afghanistan,AFG,16,332,4594.0,83154.0,0.055246891310099334
Afghanistan,AFG,16,333,31588.0,31588.0,1.0
Afghanistan,AFG,16,334,60133.0,74226.0,0.8101339153396384
Afghanistan,AFG,18,334,14093.0,74226.0,0.1898660846603616
Afghanistan,AFG,16,335,48483.0,48834.0,0.9928123848138592
Afghanistan,AFG,20,335,351.0,48834.0,0.007187615186140804
Afghanistan,AFG,16,3361MV,13504.0,13504.0,1.0
Afghanistan,AFG,15,337,12076.0,94883.0,0.12727253564916793
Afghanistan,AFG,20,337,82807.0,94883.0,0.872727464350832
Afghanistan,AFG,14,339,1059772.0,1112493.0,0.9526100388946267
Afghanistan,AFG,16,339,45099.0,1112493.0,0.04053868204114543
Afghanistan,AFG,20,339,7622.0,1112493.0,0.00685127906422782
Afghanistan,AFG,11,Other,6369.0,1971873.0,0.0032299240366899895
Afghanistan,AFG,21,Other,1965504.0,1971873.0,0.99677007596331
Albania,ALB,1,111CA,24790.0,17960340.0,0.00138026340258592
Albania,ALB,2,111CA,16842578.0,17960340.0,0.9377649866316562
Albania,ALB,4,111CA,1092972.0,17960340.0,0.06085474996575789
Albania,ALB,1,113FF,1282133.0,1320785.0,0.9707355852769376
Albania,ALB,2,113FF,38652.0,1320785.0,0.02926441472306242
Albania,ALB,5,212,36615.0,36615.0,1.0
Albania,ALB,1,311FT,1182921.0,6862452.0,0.17237585049775211
Albania,ALB,2,311FT,2581170.0,6862452.0,0.37612940680677986
Albania,ALB,3,311FT,1243575.0,6862452.0,0.18121438226453168
Albania,ALB,4,311FT,1854786.0,6862452.0,0.27028036043093634
Albania,ALB,8,313TT,1015.0,130579.0,0.007773072239793535
Albania,ALB,11,313TT,116370.0,130579.0,0.8911846468421415
Albania,ALB,12,313TT,5502.0,130579.0,0.04213541227915668
Albania,ALB,20,313TT,7692.0,130579.0,0.05890686863890825
Albania,ALB,8,315AL,768116.0,13873209.0,0.055366858525666265
Albania,ALB,11,315AL,10979201.0,13873209.0,0.7913959200066834
Albania,ALB,12,315AL,2125892.0,13873209.0,0.15323722146765034
Albania,ALB,9,321,154854.0,154854.0,1.0
Albania,ALB,10,322,2713926.0,2713926.0,1.0
Albania,ALB,10,323,35015.0,35015.0,1.0
Albania,ALB,2,325,267288.0,4713651.0,0.056705089112452325
Albania,ALB,6,325,4446363.0,4713651.0,0.9432949108875477
Albania,ALB,7,326,985369.0,992072.0,0.9932434339443105
Albania,ALB,20,326,6703.0,992072.0,0.006756566055689506
Albania,ALB,6,327,2077.0,109794.0,0.018917245022496674
Albania,ALB,13,327,107717.0,109794.0,0.9810827549775033
Albania,ALB,15,331,64832268.0,64834468.0,0.9999660674319099
Albania,ALB,16,331,2200.0,64834468.0,3.3932568090170804e-05
Albania,ALB,15,332,6265259.0,6367644.0,0.983921054631823
Albania,ALB,16,332,20924.0,6367644.0,0.003285987721675395
Albania,ALB,20,332,81461.0,6367644.0,0.012792957646501594
Albania,ALB,16,333,182656.0,248539.0,0.7349188658520394
Albania,ALB,17,333,62973.0,248539.0,0.25337271011792917
Albania,ALB,18,333,2910.0,248539.0,0.011708424030031504
Albania,ALB,16,334,196369.0,209693.0,0.9364594907793775
Albania,ALB,18,334,13324.0,209693.0,0.06354050922062253
Albania,ALB,16,335,1352420.0,1352420.0,1.0
Albania,ALB,16,3361MV,33125.0,1055527.0,0.03138242792462912
Albania,ALB,17,3361MV,669520.0,1055527.0,0.6342992647274773
Albania,ALB,20,3361MV,352882.0,1055527.0,0.33431830734789353
Albania,ALB,17,3364OT,483718.0,483718.0,1.0
Albania,ALB,20,337,2686013.0,2686013.0,1.0
Albania,ALB,7,339,20867.0,267597.0,0.07797920006577054
Albania,ALB,12,339,35794.0,267597.0,0.13376084186295062
Albania,ALB,14,339,99859.0,267597.0,0.3731693554113088
Albania,ALB,15,339,2331.0,267597.0,0.008710859987219587
Albania,ALB,18,339,28287.0,267597.0,0.10570746308815121
Albania,ALB,20,339,80459.0,267597.0,0.30067227958459924
Albania,ALB,11,Other,1483.0,1871498.0,0.0007924133501612078
Albania,ALB,14,Other,91393.0,1871498.0,0.04883414248906491
Albania,ALB,17,Other,32500.0,1871498.0,0.017365767957005566
Albania,ALB,21,Other,1746122.0,1871498.0,0.9330076762037683
Andorra,AND,4,311FT,2912.0,2912.0,1.0
Andorra,AND,11,313TT,511.0,511.0,1.0
Andorra,AND,10,323,123903.0,123903.0,1.0
Andorra,AND,7,325,584.0,584.0,1.0
Andorra,AND,7,326,18254.0,19679.0,0.9275877839321104
Andorra,AND,8,326,1425.0,19679.0,0.07241221606788963
Andorra,AND,14,331,11165.0,11165.0,1.0
Andorra,AND,15,332,180445.0,197531.0,0.9135021844672482
Andorra,AND,16,332,17086.0,197531.0,0.08649781553275182
Andorra,AND,15,333,4500.0,28226.0,0.159427478211578
Andorra,AND,16,333,12497.0,28226.0,0.44274782115779776
Andorra,AND,17,333,3723.0,28226.0,0.1318996669737122
Andorra,AND,18,333,7506.0,28226.0,0.26592503365691206
Andorra,AND,16,334,1499903.0,1548232.0,0.9687843940701394
