Country,iso3,HS_Section,usummary_code,impVal,bea_total,weight
Afghanistan,AFG,2,111,3594853.0,3594853.0,1.0
Afghanistan,AFG,1,112,2250.0,2250.0,1.0
Afghanistan,AFG,2,113FF,83490.0,83490.0,1.0
Afghanistan,AFG,5,212,15399.0,15399.0,1.0
Afghanistan,AFG,1,311,34528.0,9997422.0,0.0034536903613751626
Afghanistan,AFG,2,311,7315407.0,9997422.0,0.7317293398238066
Afghanistan,AFG,3,311,87419.0,9997422.0,0.008744154242963835
Afghanistan,AFG,4,311,2560068.0,9997422.0,0.2560728155718544
Afghanistan,AFG,4,3121,779974.0,779974.0,1.0
Afghanistan,AFG,4,3122,387833.0,387833.0,1.0
Afghanistan,AFG,7,313TT,581.0,4089098.0,0.00014208512488573274
Afghanistan,AFG,11,313TT,4087972.0,4089098.0,0.9997246336478118
Afghanistan,AFG,20,313TT,545.0,4089098.0,0.00013328122730245153
Afghanistan,AFG,7,315AL,454.0,102387.0,0.004434156680047272
Afghanistan,AFG,8,315AL,28927.0,102387.0,0.28252610194653616
Afghanistan,AFG,11,315AL,65498.0,102387.0,0.6397101194487581
Afghanistan,AFG,12,315AL,7508.0,102387.0,0.0733296219246584
Afghanistan,AFG,7,322,979.0,18531.0,0.0528303923155793
Afghanistan,AFG,10,322,17552.0,18531.0,0.9471696076844207
Afghanistan,AFG,10,323,16000.0,16000.0,1.0
Afghanistan,AFG,6,3251,2402.0,2402.0,1.0
Afghanistan,AFG,4,3254,6000.0,6000.0,1.0
Afghanistan,AFG,6,325X,21615.0,21615.0,1.0
Afghanistan,AFG,7,326,10725.0,10725.0,1.0
Afghanistan,AFG,13,327,6750.0,6750.0,1.0
Afghanistan,AFG,15,3313NF,23075.0,23075.0,1.0
Afghanistan,AFG,15,332,78560.0,83154.0,0.9447531086899007
Afghanistan,AFG,16,332,4594.0,83154.0,0.055246891310099334
Afghanistan,AFG,16,33311,4822.0,4822.0,1.0
Afghanistan,AFG,16,33312,3732.0,3732.0,1.0
Afghanistan,AFG,16,3332OM,23034.0,23034.0,1.0
Afghanistan,AFG,16,3341,6919.0,6919.0,1.0
Afghanistan,AFG,16,3342,19714.0,19714.0,1.0
Afghanistan,AFG,16,3344,20000.0,20000.0,1.0
Afghanistan,AFG,16,3345,13500.0,27593.0,0.4892545210741855
Afghanistan,AFG,18,3345,14093.0,27593.0,0.5107454789258146
Afghanistan,AFG,16,335,48483.0,48834.0,0.9928123848138592
Afghanistan,AFG,20,335,351.0,48834.0,0.007187615186140804
Afghanistan,AFG,16,3362BP,13504.0,13504.0,1.0
Afghanistan,AFG,15,337,12076.0,94883.0,0.12727253564916793
Afghanistan,AFG,20,337,82807.0,94883.0,0.872727464350832
Afghanistan,AFG,14,3399,1059772.0,1112493.0,0.9526100388946267
Afghanistan,AFG,16,3399,45099.0,1112493.0,0.04053868204114543
Afghanistan,AFG,20,3399,7622.0,1112493.0,0.00685127906422782
Afghanistan,AFG,11,S003,6369.0,1971873.0,0.0032299240366899895
Afghanistan,AFG,21,S003,1965504.0,1971873.0,0.99677007596331
Albania,ALB,2,111,16842578.0,17935550.0,0.9390611383537165
Albania,ALB,4,111,1092972.0,17935550.0,0.060938861646283496
Albania,ALB,1,112,24790.0,24790.0,1.0
Albania,ALB,1,113FF,1282133.0,1320785.0,0.9707355852769376
Albania,ALB,2,113FF,38652.0,1320785.0,0.02926441472306242
Albania,ALB,5,212,36615.0,36615.0,1.0
Albania,ALB,1,311,1182921.0,6121004.0,0.19325604100242377
Albania,ALB,2,311,2581170.0,6121004.0,0.4216906246099496
Albania,ALB,3,311,1243575.0,6121004.0,0.20316519969599758
Albania,ALB,4,311,1113338.0,6121004.0,0.181888134691629
Albania,ALB,4,3121,741448.0,741448.0,1.0
Albania,ALB,8,313TT,1015.0,130579.0,0.007773072239793535
Albania,ALB,11,313TT,116370.0,130579.0,0.8911846468421415
Albania,ALB,12,313TT,5502.0,130579.0,0.04213541227915668
Albania,ALB,20,313TT,7692.0,130579.0,0.05890686863890825
Albania,ALB,8,315AL,768116.0,13873209.0,0.055366858525666265
Albania,ALB,11,315AL,10979201.0,13873209.0,0.7913959200066834
Albania,ALB,12,315AL,2125892.0,13873209.0,0.15323722146765034
Albania,ALB,9,321,154854.0,154854.0,1.0
Albania,ALB,10,322,2713926.0,2713926.0,1.0
Albania,ALB,10,323,35015.0,35015.0,1.0
Albania,ALB,2,3254,267288.0,267288.0,1.0
