Country,iso3,sector_code,impVal,continent,region,world_weight,regional_weight,world_denominator,regional_denominator
Afghanistan,AFG,11,3680593.0,Asia,RoAsia,4.598842851694808e-05,0.0003086153546130787,80033023930.0,11926149963.0
Afghanistan,AFG,21,15399.0,Asia,RoAsia,8.934876918177233e-08,8.736026053142278e-07,172347085931.0,17627007871.0
Afghanistan,AFG,31ND,15431987.0,Asia,RoAsia,1.786266232250676e-05,6.821453058562885e-05,863924241604.0,226227269579.0
Afghanistan,AFG,33DG,1488507.0,Asia,RoAsia,7.575529290629847e-07,2.8031565418162436e-06,1964888449235.0,531011014831.0
Afghanistan,AFG,Other,1971873.0,Asia,RoAsia,1.3442307317887058e-05,7.778585979154104e-05,146691557734.0,25350018696.0
Albania,ALB,11,19281125.0,Europe,Europe,0.00024091461315848845,0.003521840405003987,80033023930.0,5474729909.0
Albania,ALB,21,36615.0,Europe,Europe,2.1244919693425507e-07,1.5053456829451061e-05,172347085931.0,2432331684.0
Albania,ALB,31ND,29320904.0,Europe,Europe,3.393920738415849e-05,9.336723403263659e-05,863924241604.0,314038477243.0
Albania,ALB,33DG,77770267.0,Europe,Europe,3.957999093041577e-05,0.00020912258533944457,1964888449235.0,371888415944.0
Albania,ALB,Other,1871498.0,Europe,Europe,1.2758048444707642e-05,3.26286151925104e-05,146691557734.0,57357567551.0
Andorra,AND,31ND,147589.0,Europe,Europe,1.708355812842799e-07,4.6997107263960214e-07,863924241604.0,314038477243.0
Andorra,AND,33DG,2784886.0,Europe,Europe,1.4173252436209566e-06,7.488498916888435e-06,1964888449235.0,371888415944.0
Andorra,AND,Other,436774.0,Europe,Europe,2.977499228633285e-06,7.61493240820644e-06,146691557734.0,57357567551.0
Anguilla,AIA,31ND,525421.0,North America,RoWorld,6.081794846090673e-07,1.2590451023406724e-05,863924241604.0,41731705959.0
Anguilla,AIA,33DG,204663.0,North America,RoWorld,1.0416011152169096e-07,4.0112523733974016e-06,1964888449235.0,51022219733.0
Anguilla,AIA,Other,460514.0,North America,RoWorld,3.139335399485383e-06,5.1581781846157755e-05,146691557734.0,8927842031.0
Antigua and Barbuda,ATG,21,54800.0,North America,RoWorld,3.179630204013977e-07,1.722241478306675e-06,172347085931.0,31818999072.0
Antigua and Barbuda,ATG,31ND,1908863.0,North America,RoWorld,2.2095259145129673e-06,4.57413124178387e-05,863924241604.0,41731705959.0
Antigua and Barbuda,ATG,33DG,1832262.0,North America,RoWorld,9.325017920042046e-07,3.591106011436298e-05,1964888449235.0,51022219733.0
Antigua and Barbuda,ATG,Other,19955625.0,North America,RoWorld,0.00013603799228982289,0.002235212600167925,146691557734.0,8927842031.0
Argentina,ARG,11,885586566.0,South America,RoWorld,0.011065264343561084,0.034936673009707334,80033023930.0,25348337140.0
Argentina,ARG,21,1416055954.0,South America,RoWorld,0.0082163034341464,0.044503472620108196,172347085931.0,31818999072.0
Argentina,ARG,31ND,2768535060.0,South America,RoWorld,0.0032046039764549437,0.06634128647220874,863924241604.0,41731705959.0
Argentina,ARG,33DG,1731973699.0,South America,RoWorld,0.0008814615912034692,0.03394547920618591,1964888449235.0,51022219733.0
Argentina,ARG,Other,290009890.0,South America,RoWorld,0.0019770046380302485,0.03248376136058449,146691557734.0,8927842031.0
Armenia,ARM,11,627522.0,Asia,RoAsia,7.840788329438298e-06,5.2617315893799814e-05,80033023930.0,11926149963.0
Armenia,ARM,21,89580.0,Asia,RoAsia,5.197650979481242e-07,5.081974244044972e-06,172347085931.0,17627007871.0
Armenia,ARM,31ND,28818809.0,Asia,RoAsia,3.33580279521891e-05,0.00012738874961285907,863924241604.0,226227269579.0
Armenia,ARM,33DG,89025294.0,Asia,RoAsia,4.530806521594683e-05,0.00016765244319523817,1964888449235.0,531011014831.0
Armenia,ARM,Other,3021911.0,Asia,RoAsia,2.060044249771836e-05,0.00011920744659950999,146691557734.0,25350018696.0
Aruba,ABW,31ND,1151722.0,North America,RoWorld,1.3331284672156692e-06,2.759824870642787e-05,863924241604.0,41731705959.0
Aruba,ABW,33DG,631161.0,North America,RoWorld,3.2121976198991506e-07,1.2370316370061406e-05,1964888449235.0,51022219733.0
Aruba,ABW,Other,8921785.0,North America,RoWorld,6.082003039451069e-05,0.0009993215571042846,146691557734.0,8927842031.0
Australia,AUS,11,248343333.0,Oceania,RoAsia,0.0031030107423806797,0.020823428664780073,80033023930.0,11926149963.0
Australia,AUS,21,613702879.0,Oceania,RoAsia,0.0035608543984648453,0.03481605519730127,172347085931.0,17627007871.0
Australia,AUS,31ND,7254530146.0,Oceania,RoAsia,0.008397183221217313,0.03206744332591024,863924241604.0,226227269579.0
Australia,AUS,33DG,7304724653.0,Oceania,RoAsia,0.003717628171636912,0.013756258248851594,1964888449235.0,531011014831.0
Australia,AUS,Other,1264208829.0,Oceania,RoAsia,0.008618143051506932,0.049870133989269226,146691557734.0,25350018696.0
Austria,AUT,11,4653163.0,Europe,Europe,5.814053713714276e-05,0.0008499347141035374,80033023930.0,5474729909.0
Austria,AUT,21,1658467.0,Europe,Europe,9.62283168897892e-06,0.0006818424522072706,172347085931.0,2432331684.0
Austria,AUT,31ND,4809775941.0,Europe,Europe,0.005567358466605772,0.015315880981292114,863924241604.0,314038477243.0
Austria,AUT,33DG,12271007437.0,Europe,Europe,0.006245142029196382,0.03299647666048249,1964888449235.0,371888415944.0
Austria,AUT,Other,484917821.0,Europe,Europe,0.0033056968546159647,0.008454295426123692,146691557734.0,57357567551.0
Azerbaijan,AZE,11,101105.0,Asia,RoAsia,1.2632910145745633e-06,8.477589189610294e-06,80033023930.0,11926149963.0
Azerbaijan,AZE,21,5015.0,Asia,RoAsia,2.909825816264616e-08,2.84506595600419e-07,172347085931.0,17627007871.0
Azerbaijan,AZE,31ND,6283324.0,Asia,RoAsia,7.273003461893953e-06,2.777438817032543e-05,863924241604.0,226227269579.0
Azerbaijan,AZE,33DG,102748393.0,Asia,RoAsia,5.2292227093097094e-05,0.00019349578470175574,1964888449235.0,531011014831.0
Azerbaijan,AZE,Other,48638635.0,Asia,RoAsia,0.0003315707853358394,0.001918682411373319,146691557734.0,25350018696.0
Bahamas,BHS,11,102933056.0,North America,RoWorld,0.0012861322857178215,0.004060741950507291,80033023930.0,25348337140.0
Bahamas,BHS,21,47304700.0,North America,RoWorld,0.00027447345421864963,0.0014866809572783534,172347085931.0,31818999072.0
Bahamas,BHS,31ND,653413590.0,North America,RoWorld,0.0007563320468781422,0.015657485717021895,863924241604.0,41731705959.0
Bahamas,BHS,33DG,3554184.0,North America,RoWorld,1.8088477243498319e-06,6.965953301520583e-05,1964888449235.0,51022219733.0
Bahamas,BHS,Other,985167489.0,North America,RoWorld,0.006715911291817028,0.11034777335656466,146691557734.0,8927842031.0
Bahrain,BHR,11,3113627.0,Asia,RoAsia,3.890427784814553e-05,0.0002610756203518988,80033023930.0,11926149963.0
Bahrain,BHR,31ND,295043778.0,Asia,RoAsia,0.0003415157994087637,0.001304191924117127,863924241604.0,226227269579.0
Bahrain,BHR,33DG,858605992.0,Asia,RoAsia,0.00043697442077909583,0.0016169268960894542,1964888449235.0,531011014831.0
Bahrain,BHR,Other,47577525.0,Asia,RoAsia,0.000324337172056443,0.0018768240596014746,146691557734.0,25350018696.0
Bangladesh,BGD,11,32476663.0,Asia,RoAsia,0.00040579077742214706,0.0027231472940350784,80033023930.0,11926149963.0
Bangladesh,BGD,31ND,7993266018.0,Asia,RoAsia,0.00925227656901877,0.035332902319314345,863924241604.0,226227269579.0
Bangladesh,BGD,33DG,236236919.0,Asia,RoAsia,0.00012022917590664005,0.0004448813911613207,1964888449235.0,531011014831.0
Bangladesh,BGD,Other,103786727.0,Asia,RoAsia,0.0007075167010510546,0.004094147946974753,146691557734.0,25350018696.0
Barbados,BRB,11,944889.0,North America,RoWorld,1.1806238894914638e-05,3.727617298055237e-05,80033023930.0,25348337140.0
Barbados,BRB,31ND,27960883.0,North America,RoWorld,3.2364970970239924e-05,0.0006700153362402828,863924241604.0,41731705959.0
Barbados,BRB,33DG,8779190.0,North America,RoWorld,4.4680348156242896e-06,0.00017206601449214922,1964888449235.0,51022219733.0
