Country,iso3,usummary_code,impVal,continent,region,world_weight,regional_weight,world_denominator,regional_denominator
Afghanistan,AFG,111,3594853.0,Asia,RoAsia,7.152050962766596e-05,0.0010653938495490468,50263246427.0,3374201007.0
Afghanistan,AFG,112,2250.0,Asia,RoAsia,1.6290830546036726e-07,6.723939373259364e-07,13811450519.0,3346252658.0
Afghanistan,AFG,113FF,83490.0,Asia,RoAsia,5.231751428812558e-06,1.6038200313774816e-05,15958326984.0,5205696298.0
Afghanistan,AFG,212,15399.0,Asia,RoAsia,2.8948605659531022e-06,1.739709452795196e-05,5319427188.0,885147803.0
Afghanistan,AFG,311,9997422.0,Asia,RoAsia,8.661393345810804e-05,0.00033237578788239793,115425100799.0,30078671084.0
Afghanistan,AFG,3121,779974.0,Asia,RoAsia,2.535293393586915e-05,0.0005268855961318883,30764644517.0,1480347927.0
Afghanistan,AFG,3122,387833.0,Asia,RoAsia,0.00020114282345248574,0.0027155985123231362,1928147340.0,142816767.0
Afghanistan,AFG,313TT,4089098.0,Asia,RoAsia,0.00012079356858840618,0.0003085968157739673,33851951290.0,13250616309.0
Afghanistan,AFG,315AL,102387.0,Asia,RoAsia,8.443802590574108e-07,1.6073861318948798e-06,121256979781.0,63697824666.0
Afghanistan,AFG,322,18531.0,Asia,RoAsia,6.977449534161011e-07,5.0087845136400785e-06,26558414947.0,3699699987.0
Afghanistan,AFG,323,16000.0,Asia,RoAsia,2.3601263593892867e-06,1.4874946994637122e-05,6779298039.0,1075634085.0
Afghanistan,AFG,3251,2402.0,Asia,RoAsia,3.767406184975663e-08,2.1594127927599856e-07,63757393869.0,11123394323.0
Afghanistan,AFG,3254,6000.0,Asia,RoAsia,2.381493695981537e-08,1.454136051582214e-07,251942720240.0,41261613681.0
Afghanistan,AFG,325X,21615.0,Asia,RoAsia,4.04932837627109e-07,1.6703796125897398e-06,53379222408.0,12940172304.0
Afghanistan,AFG,326,10725.0,Asia,RoAsia,1.398789378054097e-07,4.838980866656795e-07,76673444682.0,22163757815.0
Afghanistan,AFG,327,6750.0,Asia,RoAsia,2.2748798279775643e-07,1.0390981587339185e-06,29671897025.0,6496017670.0
Afghanistan,AFG,3313NF,23075.0,Asia,RoAsia,2.656744667010805e-07,1.733410295057714e-06,86854413548.0,13311908938.0
Afghanistan,AFG,332,83154.0,Asia,RoAsia,8.420388806529754e-07,3.619780577880953e-06,98753159635.0,22972110660.0
Afghanistan,AFG,33311,4822.0,Asia,RoAsia,3.127466487195387e-07,1.7458238414721858e-06,15418230762.0,2762019790.0
Afghanistan,AFG,33312,3732.0,Asia,RoAsia,1.1421374933023356e-07,1.0357302301674483e-06,32675575593.0,3603254874.0
Afghanistan,AFG,3332OM,23034.0,Asia,RoAsia,1.1570131701151743e-07,5.729281494835691e-07,199081571368.0,40203994202.0
Afghanistan,AFG,3341,6919.0,Asia,RoAsia,4.493199145802847e-08,1.2185747140633467e-07,153988278184.0,56779448319.0
Afghanistan,AFG,3342,19714.0,Asia,RoAsia,1.625757629854247e-07,3.888553063624664e-07,121260387391.0,50697520845.0
Afghanistan,AFG,3344,20000.0,Asia,RoAsia,1.524497663749353e-07,2.180220109288691e-07,131190755326.0,91733857122.0
Afghanistan,AFG,3345,27593.0,Asia,RoAsia,3.71289978706015e-07,1.9190380329049874e-06,74316576214.0,14378558177.0
Afghanistan,AFG,335,48834.0,Asia,RoAsia,2.392185679546144e-07,9.026969972182166e-07,204139672006.0,54097886833.0
Afghanistan,AFG,3362BP,13504.0,Asia,RoAsia,8.800918652454236e-08,6.375773912337922e-07,153438527650.0,21180173867.0
Afghanistan,AFG,337,94883.0,Asia,RoAsia,1.992074222430574e-06,4.732901727303554e-06,47630253397.0,20047532247.0
Afghanistan,AFG,3399,1112493.0,Asia,RoAsia,1.1702572897395716e-05,3.32850323694716e-05,95063966681.0,33423221214.0
Afghanistan,AFG,S003,1971873.0,Asia,RoAsia,1.3442307317887058e-05,7.778585979154104e-05,146691557734.0,25350018696.0
Albania,ALB,111,17935550.0,Europe,Europe,0.00035683230342172103,0.014555517138698919,50263246427.0,1232216611.0
Albania,ALB,112,24790.0,Europe,Europe,1.7948875077166687e-06,1.1076590505481017e-05,13811450519.0,2238053306.0
Albania,ALB,113FF,1320785.0,Europe,Europe,8.276462822977835e-05,0.0006589231041135193,15958326984.0,2004459992.0
Albania,ALB,212,36615.0,Europe,Europe,6.883259927422095e-06,7.924796252655066e-05,5319427188.0,462030806.0
Albania,ALB,311,6121004.0,Europe,Europe,5.303009447363662e-05,0.0002849554145139556,115425100799.0,21480567444.0
Albania,ALB,3121,741448.0,Europe,Europe,2.4100652279284062e-05,5.4221837920414364e-05,30764644517.0,13674342819.0
Albania,ALB,313TT,130579.0,Europe,Europe,3.857355189996789e-06,4.389275635467726e-05,33851951290.0,2974955570.0
Albania,ALB,315AL,13873209.0,Europe,Europe,0.0001144116324277262,0.001335530866705985,121256979781.0,10387786120.0
Albania,ALB,321,154854.0,Europe,Europe,6.695330311915449e-06,5.1205733287719955e-05,23128657256.0,3024153548.0
Albania,ALB,322,2713926.0,Europe,Europe,0.00010218704713424779,0.0005332390289526313,26558414947.0,5089511181.0
Albania,ALB,323,35015.0,Europe,Europe,5.164989029625992e-06,2.8256110437949305e-05,6779298039.0,1239200989.0
Albania,ALB,3254,267288.0,Europe,Europe,1.0609078116858552e-06,1.4402392421067573e-06,251942720240.0,185585833371.0
Albania,ALB,325X,4446363.0,Europe,Europe,8.329763528615245e-05,0.00027789636485225146,53379222408.0,16000076152.0
Albania,ALB,326,992072.0,Europe,Europe,1.293892564908983e-05,0.00010092663729206407,76673444682.0,9829634937.0
