naics22_code,hs_commodity,naics22_2023,naics17_2022,overlap_type
212114,2701110000,212114,212113,both_years
212114,2702100000,212114,212111,both_years
212114,2702200000,212114,212111,both_years
212115,2701190050,212115,212112,both_years
212115,2701120010,212115,212112,both_years
212115,2701120050,212115,212112,both_years
212115,2701190010,212115,212112,both_years
212115,2701110000,,212113,only_2022
212220,2616100040,212220,212222,both_years
212220,2616900040,212220,212221,both_years
212220,2616900010,212220,212221,both_years
212220,2616100010,212220,212222,both_years
212220,2616100080,212220,212222,both_years
212220,2616900050,212220,212221,both_years
212220,2616100020,212220,212222,both_years
212220,2616900020,212220,212221,both_years
212220,2616100030,212220,212222,both_years
212220,2616900030,212220,212221,both_years
212290,2614006020,212290,212299,both_years
212290,2615906060,212290,212299,both_years
212290,2610000020,212290,212299,both_years
212290,2614006040,212290,212299,both_years
212290,2615903000,212290,212299,both_years
212290,2617900060,212290,212299,both_years
212290,2606000030,212290,212299,both_years
212290,2612100000,212290,212291,both_years
212290,2602000040,212290,212299,both_years
212290,2610000040,212290,212299,both_years
212290,2615906090,212290,212291,both_years
212290,2611006000,212290,212299,both_years
212290,2614003000,212290,212299,both_years
212290,2606000060,212290,212299,both_years
212290,2610000060,212290,212299,both_years
212290,2602000060,212290,212299,both_years
212290,2605000000,212290,212299,both_years
212290,2609000000,212290,212299,both_years
212290,2612200000,212290,212299,both_years
212290,2606000090,212290,212299,both_years
212290,2613100000,212290,212299,both_years
212290,2613900000,212290,212299,both_years
212290,2615100000,212290,212299,both_years
212290,2617100000,212290,212299,both_years
212290,2615906030,212290,212299,both_years
212290,2611003000,212290,212299,both_years
212290,2617900030,212290,212299,both_years
212323,2507000000,212323,212324,both_years
212323,2508500000,212323,212325,both_years
212323,2508300000,212323,212325,both_years
212323,2508100000,212323,212325,both_years
212323,2508600000,212323,212325,both_years
212323,2508700000,212323,212325,both_years
212323,2519100000,212323,212325,both_years
212323,2529100000,212323,212325,both_years
212323,2529300010,212323,212325,both_years
212323,2508400110,212323,212325,both_years
212323,2529300050,212323,212325,both_years
212323,2508400150,212323,212325,both_years
212323,2508400120,212323,212325,both_years
212390,2512000000,212390,212399,both_years
212390,2511200000,212390,212393,both_years
212390,2502000000,212390,212393,both_years
212390,2528000005,212390,212391,both_years
212390,2530901000,212390,212399,both_years
212390,2528000010,212390,212391,both_years
212390,2530202000,212390,212391,both_years
212390,2529210000,212390,212393,both_years
212390,2525100050,212390,212399,both_years
212390,2530908050,212390,212399,both_years
212390,2504900000,212390,212399,both_years
212390,2520100000,212390,212399,both_years
212390,2524100000,212390,212399,both_years
212390,2526100000,212390,212399,both_years
212390,2530100000,212390,212399,both_years
212390,2714900000,212390,212399,both_years
212390,2529220000,212390,212393,both_years
212390,2510100000,212390,212392,both_years
212390,2530201000,212390,212391,both_years
212390,2524900010,212390,212399,both_years
212390,2528000050,212390,212391,both_years
212390,2524900030,212390,212399,both_years
212390,2501000000,212390,212393,both_years
212390,2703000000,212390,212399,both_years
212390,2510200000,212390,212392,both_years
212390,2524900040,212390,212399,both_years
212390,2503000010,212390,212393,both_years
212390,2524900045,212390,212399,both_years
212390,2524900055,212390,212399,both_years
212390,2524900060,212390,212399,both_years
212390,2513201000,212390,212399,both_years
212390,2511105000,212390,212393,both_years
212390,2513100010,212390,212399,both_years
212390,2525100010,212390,212399,both_years
212390,2530908010,212390,212393,both_years
212390,2530908015,212390,212393,both_years
212390,2530902000,212390,212399,both_years
315120,6117104000,315120,315190,both_years
315120,6117803010,315120,315190,both_years
315120,6117808770,315120,315190,both_years
315120,6115301000,315120,315110,both_years
315120,6505006090,315120,315190,both_years
315120,6115994000,315120,315110,both_years
315120,6117802000,315120,315190,both_years
315120,6115999000,315120,315110,both_years
315120,6115210010,315120,315110,both_years
315120,6505009050,315120,315190,both_years
315120,6115220000,315120,315110,both_years
315120,6115940000,315120,315110,both_years
315120,6111206050,315120,315110,both_years
315120,6115956000,315120,315110,both_years
315120,6115210020,315120,315110,both_years
315120,6505005090,315120,315190,both_years
315120,6505003045,315120,315190,both_years
315120,9810009000,315120,315190,both_years
