usummary_code,CAN,CHN,Europe,JPN,MEX,RoAsia,RoWorld,sum_7_regions,world_denominator,difference
111,6458818120.0,498107291.0,1232216611.0,18894801.0,19669911382.0,3374201007.0,20723929160.0,51976078372.0,51976078372.0,0.0
112,3298750364.0,15789620.0,2238053306.0,24676408.0,1423060890.0,3346363035.0,3565029120.0,13911722743.0,13911722743.0,0.0
113FF,3149356815.0,1588204872.0,2004459992.0,263976186.0,874260169.0,5205696298.0,3338114636.0,16424068968.0,16424068968.0,0.0
211,106246484961.0,3368270.0,1970300878.0,2950.0,12110468180.0,16741860068.0,39396971788.0,176469457095.0,176469457095.0,0.0
212,1573727580.0,151619834.0,462030806.0,11623113.0,371452416.0,885147803.0,2480360235.0,5935961787.0,5935961787.0,0.0
311,30372263900.0,4783783235.0,21480567444.0,979812768.0,14112022485.0,30078671084.0,16040835606.0,117847956522.0,117847956522.0,0.0
3121,1497433012.0,84693598.0,13674342819.0,256876597.0,12967674168.0,1480347927.0,864280350.0,30825648471.0,30825648471.0,0.0
3122,56872595.0,13797242.0,88263518.0,52492.0,114565796.0,142816767.0,1513057427.0,1929425837.0,1929425837.0,0.0
313TT,989430054.0,13610020714.0,2974955570.0,502187598.0,2071044506.0,13250616309.0,651899941.0,34050154692.0,34050154692.0,0.0
315AL,871121019.0,30626664293.0,10387786120.0,113759721.0,5306808706.0,63697825346.0,13255300306.0,124259265511.0,124259265511.0,0.0
321,11065405905.0,1928346531.0,3024153548.0,37753358.0,553494060.0,3517574243.0,3138258189.0,23264985834.0,23264985834.0,0.0
322,9562926505.0,3285555504.0,5089511181.0,280174514.0,2029471819.0,3699714409.0,2654863680.0,26602217612.0,26602217612.0,0.0
323,832631970.0,2674333107.0,1239200989.0,222466458.0,674956489.0,1075634085.0,71569135.0,6790792233.0,6790792233.0,0.0
324,15694192264.0,405864269.0,14427028082.0,451765067.0,4171256326.0,19513203729.0,7505290268.0,62168600005.0,62168600005.0,0.0
3251,9356424695.0,8666382079.0,27700825463.0,2565310422.0,1998244157.0,11123394323.0,2883311401.0,64293892540.0,64293892540.0,0.0
3252,5766246535.0,1249608562.0,5560451597.0,1542985774.0,1502684867.0,5799516902.0,404005161.0,21825499398.0,21825499398.0,0.0
3254,5957027078.0,9734595715.0,185585833371.0,7642107445.0,889131571.0,41261613681.0,912434350.0,251982743211.0,251982743211.0,0.0
325X,8849595589.0,3558471936.0,16000076152.0,6017100726.0,4331895794.0,12940172304.0,2677709313.0,54375021814.0,54375021814.0,0.0
326,10807028265.0,19003162721.0,9829634937.0,2938183333.0,9934122768.0,22163759138.0,2176104715.0,76851995877.0,76851995877.0,0.0
327,2358852793.0,7097630438.0,6373173723.0,1021391772.0,4957698635.0,6496017670.0,1797538112.0,30102303143.0,30102303143.0,0.0
3311IS,7687615796.0,1153613460.0,8673229853.0,1789472370.0,3730242354.0,8916833631.0,6778562584.0,38729570048.0,38729570048.0,0.0
3313NF,24507375125.0,2104242704.0,23622510632.0,1026534589.0,7189329354.0,13311908938.0,23355896293.0,95117797635.0,95117797635.0,0.0
332,8337624868.0,24814680726.0,22001432987.0,4635405713.0,14127649110.0,22972119163.0,2011832089.0,98900744656.0,98900744656.0,0.0
33311,1880556022.0,1789335814.0,5583679830.0,1260774515.0,1956996663.0,2762019790.0,233202267.0,15466564901.0,15466564901.0,0.0
33312,2970958524.0,2163895824.0,10287988703.0,6729697708.0,5165487551.0,3603254874.0,1792334771.0,32713617955.0,32713617955.0,0.0
33313,583961221.0,394957022.0,1247908443.0,93100313.0,306371491.0,467691463.0,90807203.0,3184797156.0,3184797156.0,0.0
3332OM,16024647439.0,28085493185.0,66978053437.0,19974016151.0,26359676629.0,40203996406.0,1721975201.0,199347858448.0,199347858448.0,0.0
3341,636406860.0,42493366133.0,3903267007.0,1036698209.0,49106273867.0,56779448319.0,38253803.0,153993714198.0,153993714198.0,0.0
3342,1533191611.0,52077951109.0,4125534645.0,942971773.0,11723091544.0,50697520845.0,234196949.0,121334458476.0,121334458476.0,0.0
3344,1304657790.0,12384386911.0,10271824609.0,5595351584.0,8292900625.0,91733862042.0,1877335727.0,131460319288.0,131460319288.0,0.0
3345,3563050126.0,4401187478.0,32044959655.0,4631133319.0,12922790939.0,14378558177.0,2460028673.0,74401708367.0,74401708367.0,0.0
334X,512456662.0,10193695223.0,2304841489.0,1631210555.0,14207577265.0,29555808129.0,73841957.0,58479431280.0,58479431280.0,0.0
335,8190969498.0,55927779290.0,26726351197.0,9230037298.0,46871568383.0,54098154480.0,3376211719.0,204421071865.0,204421071865.0,0.0
336111,27444882278.0,2609008402.0,53703184299.0,39711877012.0,48244715337.0,37906674196.0,2130265807.0,211750607331.0,211750607331.0,0.0
336112,3990823020.0,934239.0,227704214.0,14080167.0,29233775685.0,16826018.0,1259364.0,33485402707.0,33485402707.0,0.0
33612,4122198761.0,46356330.0,500024355.0,557852585.0,14776168578.0,185786499.0,12619085.0,20201006193.0,20201006193.0,0.0
3362BP,16760703094.0,12874426874.0,17073746218.0,11656127682.0,71060503746.0,21180181436.0,3173174819.0,153778863869.0,153778863869.0,0.0
3364,14674356241.0,802878675.0,32883432621.0,3663011048.0,3129815228.0,5104563969.0,2370708014.0,62628765796.0,62628765796.0,0.0
3365AO,1443552191.0,3579081260.0,3604600855.0,1154271188.0,2464419730.0,3046060302.0,241820625.0,15533806151.0,15533806151.0,0.0
337,3756651420.0,13262839144.0,4966857850.0,71477120.0,5099979656.0,20047532247.0,445242211.0,47650579648.0,47650579648.0,0.0
3391,796453405.0,7416662880.0,19910720771.0,1663227602.0,11476768175.0,10605694499.0,5867813110.0,57737340442.0,57737340442.0,0.0
3399,2289885549.0,40087510435.0,11849235003.0,1404632483.0,4349901722.0,33423256733.0,4352054196.0,97756476121.0,97756476121.0,0.0
