usummary_code,HS_total_imports,TiVA_total_imports,difference,usummary_name
111,3374201007.0,2147000000,1227201007.0,Crop production
112,3346363035.0,543000000,2803363035.0,Animal production and aquaculture
113FF,5205696298.0,6749000000,-1543303702.0,"Forestry, fishing, and related activities"
211,16741860068.0,4000000,16737860068.0,Oil and gas extraction
212,885147803.0,652000000,233147803.0,"Mining, except oil and gas"
213,0.0,249000000,-249000000.0,Support activities for mining
2211,0.0,37000000,-37000000.0,"Electric power generation, transmission, and distribution"
2212NW,0.0,0,0.0,"Natural gas distribution and water, sewage and other systems"
23EH,0.0,0,0.0,"Education, hospital, and health structures"
23MR,0.0,0,0.0,Maintenance and repair construction
23OC,0.0,0,0.0,Office and commercial structures
23OR,0.0,0,0.0,Other residential construction
23OT,0.0,0,0.0,Other nonresidential structures
23PC,0.0,0,0.0,Power and communication structures
23SF,0.0,0,0.0,Single-family residential structures
23TH,0.0,0,0.0,Transportation structures and highways and streets
311,30078671084.0,27727000000,2351671084.0,Food manufacturing
3121,1480347927.0,1620000000,-139652073.0,Beverage manufacturing
3122,142816767.0,90000000,52816767.0,Tobacco manufacturing
313TT,13250616309.0,11450000000,1800616309.0,Textile mills and textile product mills
315AL,63697825346.0,70514000000,-6816174654.0,Apparel and leather and allied products
321,3517574243.0,3262000000,255574243.0,Wood products
322,3699714409.0,3868000000,-168285591.0,Paper products
323,1075634085.0,599000000,476634085.0,Printing and related support activities
324,19513203729.0,20734000000,-1220796271.0,Petroleum and coal products
3251,11123394323.0,9605000000,1518394323.0,Basic chemical manufacturing
3252,5799516902.0,5417000000,382516902.0,"Resin, rubber, and artificial fibers manufacturing"
3254,41261613681.0,29781000000,11480613681.0,Pharmaceutical and medicine manufacturing
325X,12940172304.0,6771000000,6169172304.0,Other chemical manufacturing
326,22163759138.0,18513000000,3650759138.0,Plastics and rubber products
327,6496017670.0,4977000000,1519017670.0,Nonmetallic mineral products
3311IS,8916833631.0,9167000000,-250166369.0,Iron and steel mills and manufacturing from purchased steel
3313NF,13311908938.0,6920000000,6391908938.0,Nonferrous metal production and processing and foundries
332,22972119163.0,18539000000,4433119163.0,Fabricated metal products
33311,2762019790.0,2641000000,121019790.0,Agricultural implement manufacturing
33312,3603254874.0,3623000000,-19745126.0,Construction machinery manufacturing
33313,467691463.0,341000000,126691463.0,Mining and oil and gas field machinery manufacturing
3332OM,40203996406.0,29906000000,10297996406.0,Other machinery
3341,56779448319.0,42654000000,14125448319.0,Computer and peripheral equipment manufacturing
3342,50697520845.0,55176000000,-4478479155.0,Communications equipment manufacturing
3344,91733862042.0,42904000000,48829862042.0,Semiconductor and other electronic component manufacturing
3345,14378558177.0,9845000000,4533558177.0,"Navigational, measuring, electromedical, and control instruments manufacturing"
334X,29555808129.0,9831000000,19724808129.0,Other computer and electronic product manufacturing
335,54098154480.0,37175000000,16923154480.0,"Electrical equipment, appliances, and components"
336111,37906674196.0,17177000000,20729674196.0,Automobile manufacturing
336112,16826018.0,13975000000,-13958173982.0,Light truck and utility vehicle manufacturing
33612,185786499.0,6000000,179786499.0,Heavy duty truck manufacturing
3362BP,21180181436.0,19940000000,1240181436.0,"Motor vehicle body, trailer, and parts manufacturing"
3364,5104563969.0,2447000000,2657563969.0,Aerospace product and parts manufacturing
3365AO,3046060302.0,4127000000,-1080939698.0,All other transportation equipment manufacturing
337,20047532247.0,18734000000,1313532247.0,Furniture and related products
3391,10605694499.0,7123000000,3482694499.0,Medical equipment and supplies manufacturing
3399,33423256733.0,17152000000,16271256733.0,Other miscellaneous manufacturing
4231,0.0,0,0.0,Motor vehicle and motor vehicle parts and supplies
4234,0.0,0,0.0,Professional and commercial equipment and supplies
4236,0.0,0,0.0,Household appliances and electrical and electronic goods
4238,0.0,0,0.0,"Machinery, equipment, and supplies"
423X,0.0,0,0.0,Other durable goods merchant wholesalers
4242,0.0,0,0.0,Drugs and druggists' sundries
4244,0.0,0,0.0,Grocery and related product wholesalers
4247,0.0,0,0.0,Petroleum and petroleum products
424X,0.0,0,0.0,Other nondurable goods merchant wholesalers
425,0.0,0,0.0,Wholesale electronic markets and agents and brokers
42ID,0.0,0,0.0,Customs duties
441,0.0,0,0.0,Motor vehicle and parts dealers
444,0.0,0,0.0,Building material and garden equipment and supplies dealers
445,0.0,0,0.0,Food and beverage stores
446,0.0,0,0.0,Health and personal care stores
447,0.0,0,0.0,Gasoline stations
448,0.0,0,0.0,Clothing and clothing accessories stores
452,0.0,0,0.0,General merchandise stores
454,0.0,0,0.0,Nonstore retailers
481,0.0,10030000000,-10030000000.0,Air transportation
482,0.0,0,0.0,Rail transportation
483,0.0,0,0.0,Water transportation
484,0.0,0,0.0,Truck transportation
485,0.0,0,0.0,Transit and ground passenger transportation
486,0.0,0,0.0,Pipeline transportation
48A,0.0,0,0.0,Scenic and sightseeing transportation and support activities
492,0.0,0,0.0,Couriers and messengers
493,0.0,0,0.0,Warehousing and storage
4A0X,0.0,0,0.0,All other retail
5111,0.0,826000000,-826000000.0,"Newspaper, periodical, book, and directory publishers"
5112,0.0,757000000,-757000000.0,Software publishers
512,0.0,2386000000,-2386000000.0,Motion picture and sound recording industries
515,0.0,0,0.0,Broadcasting (except internet)
5171,0.0,22000000,-22000000.0,Wired telecommunications carriers
5172,0.0,0,0.0,Wireless telecommunications carriers (except satellite)
5174OT,0.0,1000000,-1000000.0,"Other telecommunications, including satellite"
518,0.0,329000000,-329000000.0,"Data processing, hosting, and related services"
519,0.0,744000000,-744000000.0,Other information services
521CI,0.0,982000000,-982000000.0,"Federal reserve banks, credit intermediation, and related activities"
523,0.0,5000000,-5000000.0,"Securities, commodity contracts, and investments"
524113,0.0,0,0.0,Direct life insurance carriers
5241XX,0.0,1267000000,-1267000000.0,Unknown
5242,0.0,0,0.0,"Agencies, brokerages, and other insurance related activities"
525,0.0,0,0.0,"Funds, trusts, and other financial vehicles"
532RL,0.0,0,0.0,Rental and leasing services and lessors of intangible assets
5411,0.0,647000000,-647000000.0,Legal services
5412,0.0,2548000000,-2548000000.0,"Accounting, tax preparation, bookkeeping, and payroll services"
5413,0.0,3491000000,-3491000000.0,"Architectural, engineering, and related services"
5415,0.0,14776000000,-14776000000.0,Computer systems design and related services
5416,0.0,10618000000,-10618000000.0,"Management, scientific, and technical consulting services"
5417,0.0,7335000000,-7335000000.0,Scientific research and development services
5418,0.0,1933000000,-1933000000.0,"Advertising, public relations, and related services"
541X,0.0,1065000000,-1065000000.0,"Specialized design services and other professional, scientific, and technical services"
55,0.0,0,0.0,Management of companies and enterprises
5613,0.0,986000000,-986000000.0,Employment services
5617,0.0,0,0.0,Services to buildings and dwellings
561X,0.0,233000000,-233000000.0,Other administrative and support services
562,0.0,134000000,-134000000.0,Waste management and remediation services
61,0.0,410000000,-410000000.0,Educational services
6211,0.0,43000000,-43000000.0,Offices of physicians
6212,0.0,43000000,-43000000.0,Offices of dentists
6213,0.0,43000000,-43000000.0,Offices of other health practitioners
6214,0.0,43000000,-43000000.0,Outpatient care centers
6215OH,0.0,129000000,-129000000.0,Other ambulatory health care services
622,0.0,2786000000,-2786000000.0,Hospitals
623,0.0,87000000,-87000000.0,Nursing and residential care facilities
624,0.0,0,0.0,Social assistance
711AS,0.0,103000000,-103000000.0,"Performing arts, spectator sports, museums, and related activities"
713,0.0,0,0.0,"Amusements, gambling, and recreation industries"
721,0.0,0,0.0,Accommodation
722,0.0,0,0.0,Food services and drinking places
811,0.0,894000000,-894000000.0,Repair and maintenance
812,0.0,0,0.0,Personal and laundry services
813,0.0,0,0.0,"Religious, grantmaking, civic, professional, and similar organizations"
814,0.0,0,0.0,Private households
GFE,0.0,0,0.0,Federal government enterprises
GFGD,0.0,0,0.0,Federal general government (defense)
GFGN,0.0,0,0.0,Federal general government (nondefense)
GSLE,0.0,0,0.0,State and local government enterprises
GSLGE,0.0,0,0.0,State and local government (educational services)
GSLGH,0.0,0,0.0,State and local government (hospitals and health services)
GSLGO,0.0,0,0.0,State and local government (other services)
HSO,0.0,0,0.0,Owner-occupied housing
HST,0.0,0,0.0,Tenant-occupied housing
ORE,0.0,0,0.0,Other real estate
Other,25350025147.0,44939000000,-19588974853.0,Unknown
Used,0.0,2690000000,-2690000000.0,Unknown
