usummary_code,HS_total_imports,TiVA_total_imports,difference,usummary_name
111,51976078372.0,47698000000,4278078372.0,Crop production
112,13911722743.0,9793000000,4118722743.0,Animal production and aquaculture
113FF,16424068968.0,19273000000,-2848931032.0,"Forestry, fishing, and related activities"
211,176469457095.0,175855000000,614457095.0,Oil and gas extraction
212,5935961787.0,6443000000,-507038213.0,"Mining, except oil and gas"
213,0.0,1522000000,-1522000000.0,Support activities for mining
2211,0.0,3475000000,-3475000000.0,"Electric power generation, transmission, and distribution"
2212NW,0.0,0,0.0,"Natural gas distribution and water, sewage and other systems"
23EH,0.0,0,0.0,"Education, hospital, and health structures"
23MR,0.0,0,0.0,Maintenance and repair construction
23OC,0.0,0,0.0,Office and commercial structures
23OR,0.0,0,0.0,Other residential construction
23OT,0.0,0,0.0,Other nonresidential structures
23PC,0.0,0,0.0,Power and communication structures
23SF,0.0,0,0.0,Single-family residential structures
23TH,0.0,0,0.0,Transportation structures and highways and streets
311,117847956522.0,113563000000,4284956522.0,Food manufacturing
3121,30825648471.0,29917000000,908648471.0,Beverage manufacturing
3122,1929425837.0,2287000000,-357574163.0,Tobacco manufacturing
313TT,34050154692.0,35550000000,-1499845308.0,Textile mills and textile product mills
315AL,124259265511.0,146054000000,-21794734489.0,Apparel and leather and allied products
321,23264985834.0,24526000000,-1261014166.0,Wood products
322,26602217612.0,28123000000,-1520782388.0,Paper products
323,6790792233.0,3051000000,3739792233.0,Printing and related support activities
324,62168600005.0,80714000000,-18545399995.0,Petroleum and coal products
3251,64293892540.0,68159000000,-3865107460.0,Basic chemical manufacturing
3252,21825499398.0,21214000000,611499398.0,"Resin, rubber, and artificial fibers manufacturing"
3254,251982743211.0,216250000000,35732743211.0,Pharmaceutical and medicine manufacturing
325X,54375021814.0,45123000000,9252021814.0,Other chemical manufacturing
326,76851995877.0,73801000000,3050995877.0,Plastics and rubber products
327,30102303143.0,32659000000,-2556696857.0,Nonmetallic mineral products
3311IS,38729570048.0,45408000000,-6678429952.0,Iron and steel mills and manufacturing from purchased steel
3313NF,95117797635.0,55666000000,39451797635.0,Nonferrous metal production and processing and foundries
332,98900744656.0,89620000000,9280744656.0,Fabricated metal products
33311,15466564901.0,18224000000,-2757435099.0,Agricultural implement manufacturing
